level,-nu-0.01_pressure_bar,-nu-0.01_H2O_mean,-nu-0.01_H2O_std,-nu-0.01_H2O_l__mean,-nu-0.01_H2O_l__std,-nu-0.01_H2O_l_p__mean,-nu-0.01_H2O_l_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2O_mean,-nu-0.1_H2O_std,-nu-0.1_H2O_l__mean,-nu-0.1_H2O_l__std,-nu-0.1_H2O_l_p__mean,-nu-0.1_H2O_l_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2O_mean,-nu-1.0_H2O_std,-nu-1.0_H2O_l__mean,-nu-1.0_H2O_l__std,-nu-1.0_H2O_l_p__mean,-nu-1.0_H2O_l_p__std,-nu-10.0_pressure_bar,-nu-10.0_H2O_mean,-nu-10.0_H2O_std,-nu-10.0_H2O_l__mean,-nu-10.0_H2O_l__std,-nu-10.0_H2O_l_p__mean,-nu-10.0_H2O_l_p__std,-nu-50.0_pressure_bar,-nu-50.0_H2O_mean,-nu-50.0_H2O_std,-nu-50.0_H2O_l__mean,-nu-50.0_H2O_l__std,-nu-50.0_H2O_l_p__mean,-nu-50.0_H2O_l_p__std,-nu-100.0_pressure_bar,-nu-100.0_H2O_mean,-nu-100.0_H2O_std,-nu-100.0_H2O_l__mean,-nu-100.0_H2O_l__std,-nu-100.0_H2O_l_p__mean,-nu-100.0_H2O_l_p__std
0,98.583430705,0.024964680896140633,6.520785092732172e-07,0.0,0.0,0.0,0.0,98.616533055,0.024964636295102538,8.151075304799784e-07,0.0,0.0,0.0,0.0,98.621356495,0.02496475831978023,1.581766041299232e-06,0.0,0.0,0.0,0.0,98.92235107,0.024964523467235267,9.672451906358436e-10,0.0,0.0,0.0,0.0,100.80476296,0.024964522570371628,0.0,0.0,0.0,0.0,0.0,102.92236041999999,0.024964522570371628,0.0,0.0,0.0,0.0,0.0
1,95.778898195,0.024988024208694698,1.9535124634705587e-05,0.0,0.0,0.0,0.0,95.81105744000001,0.024985667809844018,3.227242041978137e-05,0.0,0.0,0.0,0.0,95.815873155,0.02499483221117407,6.15428139183275e-05,0.0,0.0,0.0,0.0,96.110715735,0.024964538126252593,4.8274068639231315e-08,0.0,0.0,0.0,0.0,97.94317597999999,0.02496459200978279,1.5456588145885426e-09,0.0,0.0,0.0,0.0,100.00337149,0.024964610763825477,3.21922408533134e-09,0.0,0.0,0.0,0.0
2,93.03316760999999,0.02499194428138435,2.300466868593401e-05,0.0,0.0,0.0,0.0,93.06440877,0.024986999922432005,3.586254911024566e-05,0.0,0.0,0.0,0.0,93.069432375,0.024993609301745892,5.9104969434551123e-05,0.0,0.0,0.0,0.0,93.364434155,0.024964553324505687,8.52252240584681e-08,0.0,0.0,0.0,0.0,95.155262,0.024964591339230537,1.1400240472033141e-09,0.0,0.0,0.0,0.0,97.164804,0.024964608049951494,5.793028546510291e-10,0.0,0.0,0.0,0.0
3,90.34386619000001,0.024993508785031735,2.5658458366858328e-05,0.0,0.0,0.0,0.0,90.374259855,0.024988443119451403,3.681139279012328e-05,0.0,0.0,0.0,0.0,90.37958216499999,0.024993041531182824,5.838284151368633e-05,0.0,0.0,0.0,0.0,90.68182278,0.024964567557908594,9.439078564973634e-08,0.0,0.0,0.0,0.0,92.439121,0.024964589330367742,1.0819030485188906e-09,0.0,0.0,0.0,0.0,94.40444099999999,0.024964606292545797,4.1355756182604774e-10,0.0,0.0,0.0,0.0
4,87.710430585,0.024993218090385197,2.4655313448515177e-05,0.0,0.0,0.0,0.0,87.7400499,0.02498819393478334,3.679613436422722e-05,0.0,0.0,0.0,0.0,87.745664365,0.024991674380376937,5.9610372574491787e-05,0.0,0.0,0.0,0.0,88.06142761,0.024964590603485704,8.878269088467214e-08,0.0,0.0,0.0,0.0,89.7929035,0.0249645875710994,9.880643436827275e-10,0.0,0.0,0.0,0.0,91.7201225,0.024964603843167423,8.977698429192727e-10,0.0,0.0,0.0,0.0
5,85.132174255,0.02499422979913652,2.4893186579894794e-05,0.0,0.0,0.0,0.0,85.16105732000001,0.024987460747361183,3.7068383405537114e-05,0.0,0.0,0.0,0.0,85.166965085,0.024991051910445095,6.098845794754175e-05,0.0,0.0,0.0,0.0,85.50184965500002,0.024964628868736325,8.258702271463116e-08,0.0,0.0,0.0,0.0,87.2148205,0.02496458593942225,1.0869918971686823e-09,0.0,0.0,0.0,0.0,89.1097555,0.02496460154559463,9.123154369032312e-10,0.0,0.0,0.0,0.0
6,82.6084587025,0.024995396296493708,2.509109582188865e-05,0.0,0.0,0.0,0.0,82.636640795,0.02498632494173944,3.6959442581534284e-05,0.0,0.0,0.0,0.0,82.64282208,0.024990816240198912,5.9938223947624274e-05,0.0,0.0,0.0,0.0,83.0017507075,0.024964670212939383,7.793211979016208e-08,0.0,0.0,0.0,0.0,84.703129,0.024964584853500126,1.302728211573628e-09,0.0,0.0,0.0,0.0,86.5713035,0.024964599447324872,8.298099818640322e-10,0.0,0.0,0.0,0.0
7,80.1386049575,0.024995991124771536,2.501691848417441e-05,0.0,0.0,0.0,0.0,80.1660994225,0.024985986731946467,3.6606943197342876e-05,0.0,0.0,0.0,0.0,80.17254276999999,0.02499019593652338,5.924892095812301e-05,0.0,0.0,0.0,0.0,80.55983808,0.024964674913324415,6.706567005943814e-08,0.0,0.0,0.0,0.0,82.2561455,0.024964583632536234,1.136356665608859e-09,0.0,0.0,0.0,0.0,84.1027885,0.024964597618207334,8.460572236439554e-10,0.0,0.0,0.0,0.0
8,77.721924745,0.024996174436062574,2.4695600128888783e-05,0.0,0.0,0.0,0.0,77.7487568,0.024986830273643137,3.551359495901902e-05,0.0,0.0,0.0,0.0,77.7554385875,0.02498906659986824,6.00866568099907e-05,0.0,0.0,0.0,0.0,78.174866825,0.024964591859839857,5.106453480772699e-08,0.0,0.0,0.0,0.0,79.87222975,0.02496458191704005,9.187916118977752e-10,0.0,0.0,0.0,0.0,81.702288,0.024964595939964057,9.085050521982606e-10,0.0,0.0,0.0,0.0
9,75.35773823,0.024995938057079913,2.6713505683791556e-05,0.0,0.0,0.0,0.0,75.38391446499999,0.024987924573011695,3.567858051180429e-05,0.0,0.0,0.0,0.0,75.390821585,0.024988204217515887,6.052644349221238e-05,0.0,0.0,0.0,0.0,75.8456281775,0.024964408769272268,5.884231898742283e-08,0.0,0.0,0.0,0.0,77.549794235,0.024964580280706285,9.938761045209135e-10,0.0,0.0,0.0,0.0,79.367935,0.02496459449082613,9.07656870972229e-10,0.0,0.0,0.0,0.0
