level,-nu-0.01_pressure_bar,-nu-0.01_H2O_vapor_mean,-nu-0.01_H2O_vapor_std,-nu-0.01_H2O_l__mean,-nu-0.01_H2O_l__std,-nu-0.01_H2O_l_p__mean,-nu-0.01_H2O_l_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2O_vapor_mean,-nu-0.1_H2O_vapor_std,-nu-0.1_H2O_l__mean,-nu-0.1_H2O_l__std,-nu-0.1_H2O_l_p__mean,-nu-0.1_H2O_l_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2O_vapor_mean,-nu-1.0_H2O_vapor_std,-nu-1.0_H2O_l__mean,-nu-1.0_H2O_l__std,-nu-1.0_H2O_l_p__mean,-nu-1.0_H2O_l_p__std,-nu-10.0_pressure_bar,-nu-10.0_H2O_vapor_mean,-nu-10.0_H2O_vapor_std,-nu-10.0_H2O_l__mean,-nu-10.0_H2O_l__std,-nu-10.0_H2O_l_p__mean,-nu-10.0_H2O_l_p__std,-nu-100.0_pressure_bar,-nu-100.0_H2O_vapor_mean,-nu-100.0_H2O_vapor_std,-nu-100.0_H2O_l__mean,-nu-100.0_H2O_l__std,-nu-100.0_H2O_l_p__mean,-nu-100.0_H2O_l_p__std,-nu-1000.0_pressure_bar,-nu-1000.0_H2O_vapor_mean,-nu-1000.0_H2O_vapor_std,-nu-1000.0_H2O_l__mean,-nu-1000.0_H2O_l__std,-nu-1000.0_H2O_l_p__mean,-nu-1000.0_H2O_l_p__std
0,98.555092425,0.024964586135931312,4.4298887651719606e-07,0.0,0.0,0.0,0.0,98.57749088999999,0.024964662745594977,7.188217259614724e-07,0.0,0.0,0.0,0.0,98.57950717499999,0.024964660197496415,8.432908501411451e-07,0.0,0.0,0.0,0.0,98.642168835,0.02496452344674617,9.590899869197486e-10,0.0,0.0,0.0,0.0,100.37322096000001,0.024964522570371628,0.0,0.0,0.0,0.0,0.0,104.14376702,0.024964522570371628,0.0,0.0,0.0,0.0,0.0
1,95.75128692,0.024978026351891457,2.4791966987859164e-05,0.0,0.0,0.0,0.0,95.77314943,0.02498569324333221,4.020817613108137e-05,0.0,0.0,0.0,0.0,95.77527539999998,0.024989377474412322,5.1681156457852156e-05,0.0,0.0,0.0,0.0,95.83675446000001,0.024964533861726524,2.301005067857325e-08,0.0,0.0,0.0,0.0,97.52273448000001,0.024964580387808383,5.230676048746701e-10,0.0,0.0,0.0,0.0,101.19128722999999,0.024964610235765575,8.041747979068427e-09,0.0,0.0,0.0,0.0
2,93.00621296499999,0.024979519956745206,2.870095424547681e-05,0.0,0.0,0.0,0.0,93.02763739499999,0.02498594254627824,4.5807909940432353e-05,0.0,0.0,0.0,0.0,93.03010554,0.024993463799357414,5.586078282740433e-05,0.0,0.0,0.0,0.0,93.09272772,0.024964533562771975,3.0136988241705156e-08,0.0,0.0,0.0,0.0,94.743517,0.024964578458108008,1.246685805767203e-10,0.0,0.0,0.0,0.0,98.32237676000001,0.02496460799127817,2.172518269989391e-09,0.0,0.0,0.0,0.0
3,90.31761903,0.02498000236786902,3.237759397284521e-05,0.0,0.0,0.0,0.0,90.33862168,0.02498743198812008,4.8113645010064496e-05,0.0,0.0,0.0,0.0,90.34147226500001,0.024994826611131428,5.849278044872907e-05,0.0,0.0,0.0,0.0,90.40818261499999,0.024964526793919504,2.7143600148238084e-08,0.0,0.0,0.0,0.0,92.03378550000001,0.024964577382430433,9.2134307138082e-10,0.0,0.0,0.0,0.0,95.5346685,0.02496460635215044,2.60770320892334e-10,0.0,0.0,0.0,0.0
4,87.684941885,0.02498075707256794,3.496970434207022e-05,0.0,0.0,0.0,0.0,87.70552051000001,0.02498691820167005,4.9592206193710884e-05,0.0,0.0,0.0,0.0,87.708739145,0.024993850173428655,5.7484638013316204e-05,0.0,0.0,0.0,0.0,87.78195431,0.024964523425325753,2.7549354141650843e-08,0.0,0.0,0.0,0.0,89.3918025,0.024964576545171438,2.7623567636988863e-10,0.0,0.0,0.0,0.0,92.82586654999999,0.024964604564011096,2.60770320892334e-10,0.0,0.0,0.0,0.0
5,85.10746674,0.02498273440077901,3.417871888451751e-05,0.0,0.0,0.0,0.0,85.12761995999999,0.02498562973830849,5.078968898156112e-05,0.0,0.0,0.0,0.0,85.1311952,0.024992096486501397,5.568290354589019e-05,0.0,0.0,0.0,0.0,85.212958255,0.024964527299627663,2.7881843033457898e-08,0.0,0.0,0.0,0.0,86.8158895,0.024964574730955064,1.1000256181869682e-10,0.0,0.0,0.0,0.0,90.19373562999999,0.024964602664113045,0.0,0.0,0.0,0.0,0.0
6,82.5845444375,0.02498479827865958,3.344339298639307e-05,0.0,0.0,0.0,0.0,82.60426878999999,0.024984389536082743,5.150605795012015e-05,0.0,0.0,0.0,0.0,82.608175735,0.024990893127396704,5.453259524625768e-05,0.0,0.0,0.0,0.0,82.7001178625,0.02496453684475273,2.546531361731041e-08,0.0,0.0,0.0,0.0,84.30442099999999,0.024964573758654296,9.306848659826253e-10,0.0,0.0,0.0,0.0,87.63610628,0.024964600801467896,0.0,0.0,0.0,0.0,0.0
7,80.115472295,0.02498572884313762,3.569752428010176e-05,0.0,0.0,0.0,0.0,80.1347670975,0.02498339777812362,5.299117829963827e-05,0.0,0.0,0.0,0.0,80.138993025,0.024990293256007136,5.449728167257536e-05,0.0,0.0,0.0,0.0,80.24239272,0.024964542658068238,2.2978584354073596e-08,0.0,0.0,0.0,0.0,81.855819,0.024964572858065366,8.321668171766651e-11,0.0,0.0,0.0,0.0,85.150871,0.024964598938822746,0.0,0.0,0.0,0.0,0.0
8,77.6995606325,0.024985609215684237,3.741548801647756e-05,0.0,0.0,0.0,0.0,77.7184391225,0.02498266893438995,5.3724302582490425e-05,0.0,0.0,0.0,0.0,77.7229642775,0.02498981185629964,5.442154733286361e-05,0.0,0.0,0.0,0.0,77.8387910225,0.024964530751109125,2.175529155352399e-08,0.0,0.0,0.0,0.0,79.468555,0.024964571060612797,3.3273641472461615e-10,0.0,0.0,0.0,0.0,82.735977995,0.024964597076177597,0.0,0.0,0.0,0.0,0.0
9,75.33612465,0.02498489764519036,3.782511832186365e-05,0.0,0.0,0.0,0.0,75.3545837275,0.024982079351320862,5.282220473901664e-05,0.0,0.0,0.0,0.0,75.35939597,0.0249894745266065,5.431510784539606e-05,0.0,0.0,0.0,0.0,75.4883734425,0.024964496142230928,2.2020685974716697e-08,0.0,0.0,0.0,0.0,77.141148,0.024964570719748735,6.650973510502698e-10,0.0,0.0,0.0,0.0,80.389438495,0.024964595213532448,0.0,0.0,0.0,0.0,0.0
10,73.0244754775,0.024983635912649335,3.742920789315515e-05,0.0,0.0,0.0,0.0,73.0425239325,0.024980992595665157,5.153532879062871e-05,0.0,0.0,0.0,0.0,73.0476082075,0.02498959680274129,5.4668287582565664e-05,0.0,0.0,0.0,0.0,73.190234765,0.02496445974800736,2.8071752185583683e-08,0.0,0.0,0.0,0.0,74.87216275,0.02496456913650036,0.0,0.0,0.0,0.0,0.0,78.10931724999999,0.0249645933508873,0.0,0.0,0.0,0.0,0.0
11,70.76392956000001,0.02498271233495325,3.795583340711762e-05,0.0,0.0,0.0,0.0,70.7815709775,0.02497946038749069,5.130125399443234e-05,0.0,0.0,0.0,0.0,70.7869125125,0.02498992488346994,5.5828597279821645e-05,0.0,0.0,0.0,0.0,70.9435132675,0.024964487335644662,3.838949735606713e-08,0.0,0.0,0.0,0.0,72.6602025,0.024964568169787527,9.306499167994102e-10,0.0,0.0,0.0,0.0,75.8937365,0.02496459148824215,0.0,0.0,0.0,0.0,0.0
12,68.5538030825,0.024982673918828368,3.8715627318558507e-05,0.0,0.0,0.0,0.0,68.571045705,0.024978062190115453,5.181011806563297e-05,0.0,0.0,0.0,0.0,68.576629075,0.024990007178857923,5.737518293020471e-05,0.0,0.0,0.0,0.0,68.74737487750001,0.02496470492798835,7.267104723531432e-08,0.0,0.0,0.0,0.0,70.5039165,0.02496456727385521,0.0,0.0,0.0,0.0,0.0,73.74086725,0.024964589625597,0.0,0.0,0.0,0.0,0.0
13,66.39341859,0.02498348188586533,3.987626964519962e-05,0.0,0.0,0.0,0.0,66.41026716,0.024976743940263987,5.208063628968551e-05,0.0,0.0,0.0,0.0,66.416077435,0.02498972233850509,5.838314008136944e-05,0.0,0.0,0.0,0.0,66.601017565,0.02496526279207319,1.774601349898312e-07,0.0,0.0,0.0,0.0,68.401994,0.024964565770700574,7.350985187127828e-10,0.0,0.0,0.0,0.0,71.64893650500001,0.02496458776295185,0.0,0.0,0.0,0.0,0.0
14,64.2820975825,0.024984359860420226,4.047639160822739e-05,0.0,0.0,0.0,0.0,64.29855945,0.024975960177369416,5.1711692426279746e-05,0.0,0.0,0.0,0.0,64.3045843475,0.024989059714600442,5.948247896093763e-05,0.0,0.0,0.0,0.0,64.50366234500001,0.02496629668958485,2.7998417503790303e-07,0.0,0.0,0.0,0.0,66.353161,0.02496456541027874,4.1639597911589164e-11,0.0,0.0,0.0,0.0,69.6162195,0.0249645859003067,0.0,0.0,0.0,0.0,0.0
15,62.21916894,0.024985064628534018,4.050790618475601e-05,0.0,0.0,0.0,0.0,62.2352496725,0.024976476519368587,5.1928779356735264e-05,0.0,0.0,0.0,0.0,62.2414773125,0.024987848456948996,6.0103371789099883e-05,0.0,0.0,0.0,0.0,62.45455534,0.0249679409340024,3.6240086905416404e-07,0.0,0.0,0.0,0.0,64.356182,0.024964563659392296,4.4062385780797924e-10,0.0,0.0,0.0,0.0,67.6410415,0.024964584234170615,5.721982536622467e-10,0.0,0.0,0.0,0.0
16,60.2039612025,0.02498544774670154,4.1545846976303494e-05,0.0,0.0,0.0,0.0,60.2196660275,0.024977901245467365,5.3562473545029855e-05,0.0,0.0,0.0,0.0,60.226081840000006,0.024986462566070258,5.935510006425652e-05,0.0,0.0,0.0,0.0,60.452957575000006,0.024970315218903125,4.3932216518536364e-07,0.0,0.0,0.0,0.0,62.4098555,0.02496456354483962,8.321668171766651e-11,0.0,0.0,0.0,0.0,65.72177400000001,0.02496458392031491,4.5255377914759885e-10,0.0,0.0,0.0,0.0
17,58.2358059625,0.02498525679204613,4.316828690998896e-05,0.0,0.0,0.0,0.0,58.2511413675,0.02497933719307184,5.368043467454869e-05,0.0,0.0,0.0,0.0,58.25773102749999,0.024985480668954552,5.876423152079736e-05,0.0,0.0,0.0,0.0,58.4981474525,0.024973465251736344,6.103297308538157e-07,0.0,0.0,0.0,0.0,60.5130155,0.024964561736211182,3.01903694702091e-10,0.0,0.0,0.0,0.0,63.856835499999995,0.024964582175016403,0.0,0.0,0.0,0.0,0.0
18,56.314039832499994,0.024985088511370122,4.363310544160657e-05,0.0,0.0,0.0,0.0,56.329011295,0.024980051119811834,5.368325366192586e-05,0.0,0.0,0.0,0.0,56.33576285,0.02498521763086319,5.865001155692786e-05,0.0,0.0,0.0,0.0,56.589416705,0.024977249131537975,1.2514151563436374e-06,0.0,0.0,0.0,0.0,58.66453125,0.024964561684057116,5.887255307018429e-11,0.0,0.0,0.0,0.0,62.04468775,0.024964580312371254,0.0,0.0,0.0,0.0,0.0
