level,-kappa-0.01_pressure_bar,-kappa-0.01_NH3_mean,-kappa-0.01_NH3_std,-kappa-0.01_NH3_s__mean,-kappa-0.01_NH3_s__std,-kappa-0.01_NH3_s_p__mean,-kappa-0.01_NH3_s_p__std,-kappa-0.1_pressure_bar,-kappa-0.1_NH3_mean,-kappa-0.1_NH3_std,-kappa-0.1_NH3_s__mean,-kappa-0.1_NH3_s__std,-kappa-0.1_NH3_s_p__mean,-kappa-0.1_NH3_s_p__std,-kappa-1.0_pressure_bar,-kappa-1.0_NH3_mean,-kappa-1.0_NH3_std,-kappa-1.0_NH3_s__mean,-kappa-1.0_NH3_s__std,-kappa-1.0_NH3_s_p__mean,-kappa-1.0_NH3_s_p__std,-kappa-10.0_pressure_bar,-kappa-10.0_NH3_mean,-kappa-10.0_NH3_std,-kappa-10.0_NH3_s__mean,-kappa-10.0_NH3_s__std,-kappa-10.0_NH3_s_p__mean,-kappa-10.0_NH3_s_p__std,-kappa-50.0_pressure_bar,-kappa-50.0_NH3_mean,-kappa-50.0_NH3_std,-kappa-50.0_NH3_s__mean,-kappa-50.0_NH3_s__std,-kappa-50.0_NH3_s_p__mean,-kappa-50.0_NH3_s_p__std,-kappa-100.0_pressure_bar,-kappa-100.0_NH3_mean,-kappa-100.0_NH3_std,-kappa-100.0_NH3_s__mean,-kappa-100.0_NH3_s__std,-kappa-100.0_NH3_s_p__mean,-kappa-100.0_NH3_s_p__std
0,98.583430705,0.002517464713077061,8.070645130098683e-08,0.0,0.0,0.0,0.0,98.616533055,0.002517588262911886,3.9630960095644696e-07,0.0,0.0,0.0,0.0,98.621356495,0.002517616468016058,5.44266329884485e-07,0.0,0.0,0.0,0.0,98.92235107,0.002517432842752896,1.0575990809337697e-10,0.0,0.0,0.0,0.0,100.84514299,0.0025174329057335854,0.0,0.0,0.0,0.0,0.0,102.92236041999999,0.0025174329057335854,0.0,0.0,0.0,0.0,0.0
1,95.778898195,0.0025221062160562724,1.7741681980522727e-06,0.0,0.0,0.0,0.0,95.81105744000001,0.002537536712712608,6.493508587498818e-06,0.0,0.0,0.0,0.0,95.815873155,0.0025455252864630892,1.1274935025618867e-05,0.0,0.0,0.0,0.0,96.110715735,0.0025174332002643497,4.809239530048511e-09,0.0,0.0,0.0,0.0,97.9824765,0.002517439836869016,1.5836574896051884e-10,0.0,0.0,0.0,0.0,100.00337149,0.002517441587871872,3.3301210722594824e-10,0.0,0.0,0.0,0.0
2,93.03316760999999,0.002522505942964926,1.5215877521111794e-06,0.0,0.0,0.0,0.0,93.06440877,0.002539220073260367,5.129153160408268e-06,0.0,0.0,0.0,0.0,93.069432375,0.002549599557882175,8.96864331619733e-06,0.0,0.0,0.0,0.0,93.364434155,0.0025174361012177543,8.568663069160585e-09,0.0,0.0,0.0,0.0,95.19364949999999,0.0025174396734219044,1.305744058900113e-10,0.0,0.0,0.0,0.0,97.164804,0.002517441287636757,0.0,0.0,0.0,0.0,0.0
3,90.34386619000001,0.0025226191926049067,1.390549018878765e-06,0.0,0.0,0.0,0.0,90.374259855,0.002539703744114377,4.504560088537019e-06,0.0,0.0,0.0,0.0,90.37958216499999,0.002550962025881745,7.830577171573792e-06,0.0,0.0,0.0,0.0,90.68182278,0.0025174421971896664,9.663211573510952e-09,0.0,0.0,0.0,0.0,92.47674599999999,0.0025174394556088373,1.3758848084028958e-10,0.0,0.0,0.0,0.0,94.40444099999999,0.0025174410548061132,0.0,0.0,0.0,0.0,0.0
4,87.710430585,0.0025226779505610466,1.3573038550182904e-06,0.0,0.0,0.0,0.0,87.7400499,0.002539976372849196,4.139313761149475e-06,0.0,0.0,0.0,0.0,87.745664365,0.002551682037184946,7.296629068067415e-06,0.0,0.0,0.0,0.0,88.06142761,0.0025174476890824737,9.217973557152431e-09,0.0,0.0,0.0,0.0,89.829914,0.0025174393818015233,1.212262545590996e-10,0.0,0.0,0.0,0.0,91.7201225,0.0025174408219754696,0.0,0.0,0.0,0.0,0.0
5,85.132174255,0.0025227398931747303,1.310870504313884e-06,0.0,0.0,0.0,0.0,85.16105732000001,0.0025402076022000984,3.880329946352066e-06,0.0,0.0,0.0,0.0,85.166965085,0.002552090253564529,6.938414026968258e-06,0.0,0.0,0.0,0.0,85.50184965500002,0.002517444574390538,8.365336187173908e-09,0.0,0.0,0.0,0.0,87.2513525,0.0025174391701584683,9.358799975369168e-11,0.0,0.0,0.0,0.0,89.1097555,0.0025174406241858377,8.325111912212609e-11,0.0,0.0,0.0,0.0
6,82.6084587025,0.002522782431798987,1.2530088674859798e-06,0.0,0.0,0.0,0.0,82.636640795,0.0025403858677018436,3.674013879634474e-06,0.0,0.0,0.0,0.0,82.64282208,0.00255231497681234,6.562644725068986e-06,0.0,0.0,0.0,0.0,83.0017507075,0.0025174279740313066,6.853319896839188e-09,0.0,0.0,0.0,0.0,84.739316,0.0025174390018219126,1.3358753289859235e-10,0.0,0.0,0.0,0.0,86.5713035,0.0025174405799480155,4.5351052564167095e-11,0.0,0.0,0.0,0.0
7,80.1386049575,0.002522805033950135,1.205491520300692e-06,0.0,0.0,0.0,0.0,80.1660994225,0.002540495388559066,3.475158601804233e-06,0.0,0.0,0.0,0.0,80.17254276999999,0.0025524241952225566,6.261661499077646e-06,0.0,0.0,0.0,0.0,80.55983808,0.0025174064561724664,5.236515945303435e-09,0.0,0.0,0.0,0.0,82.29211099999999,0.002517438925220631,1.1191327679863612e-10,0.0,0.0,0.0,0.0,84.1027885,0.0025174403563141823,0.0,0.0,0.0,0.0,0.0
8,77.721924745,0.0025228320845635606,1.1518813277101555e-06,0.0,0.0,0.0,0.0,77.7487568,0.002540546561824158,3.2961165230484986e-06,0.0,0.0,0.0,0.0,77.7554385875,0.002552509897155687,6.100266843953303e-06,0.0,0.0,0.0,0.0,78.174866825,0.002517404287355021,7.169795683155339e-09,0.0,0.0,0.0,0.0,79.908092,0.0025174387115985157,9.82048632435943e-11,0.0,0.0,0.0,0.0,81.702288,0.0025174401234835386,0.0,0.0,0.0,0.0,0.0
9,75.35773823,0.002522853301721625,1.108390155011612e-06,0.0,0.0,0.0,0.0,75.38391446499999,0.0025405645667342467,3.1434910198696333e-06,0.0,0.0,0.0,0.0,75.390821585,0.0025526034642243756,5.9812531669039734e-06,0.0,0.0,0.0,0.0,75.8456281775,0.002517445075791329,1.0938680248588315e-08,0.0,0.0,0.0,0.0,77.58566275,0.002517438651411794,1.3546137071555956e-10,0.0,0.0,0.0,0.0,79.367935,0.002517439890652895,0.0,0.0,0.0,0.0,0.0
