level,-nu-0.01_pressure_bar,-nu-0.01_NH3_vapor_mean,-nu-0.01_NH3_vapor_std,-nu-0.01_NH3_s__mean,-nu-0.01_NH3_s__std,-nu-0.01_NH3_s_p__mean,-nu-0.01_NH3_s_p__std,-nu-0.1_pressure_bar,-nu-0.1_NH3_vapor_mean,-nu-0.1_NH3_vapor_std,-nu-0.1_NH3_s__mean,-nu-0.1_NH3_s__std,-nu-0.1_NH3_s_p__mean,-nu-0.1_NH3_s_p__std,-nu-1.0_pressure_bar,-nu-1.0_NH3_vapor_mean,-nu-1.0_NH3_vapor_std,-nu-1.0_NH3_s__mean,-nu-1.0_NH3_s__std,-nu-1.0_NH3_s_p__mean,-nu-1.0_NH3_s_p__std,-nu-10.0_pressure_bar,-nu-10.0_NH3_vapor_mean,-nu-10.0_NH3_vapor_std,-nu-10.0_NH3_s__mean,-nu-10.0_NH3_s__std,-nu-10.0_NH3_s_p__mean,-nu-10.0_NH3_s_p__std,-nu-100.0_pressure_bar,-nu-100.0_NH3_vapor_mean,-nu-100.0_NH3_vapor_std,-nu-100.0_NH3_s__mean,-nu-100.0_NH3_s__std,-nu-100.0_NH3_s_p__mean,-nu-100.0_NH3_s_p__std,-nu-1000.0_pressure_bar,-nu-1000.0_NH3_vapor_mean,-nu-1000.0_NH3_vapor_std,-nu-1000.0_NH3_s__mean,-nu-1000.0_NH3_s__std,-nu-1000.0_NH3_s_p__mean,-nu-1000.0_NH3_s_p__std
0,98.555092425,0.0025174634512513876,7.540489909663075e-08,0.0,0.0,0.0,0.0,98.57749088999999,0.002517579230829142,3.358925029202886e-07,0.0,0.0,0.0,0.0,98.57950717499999,0.002517590859439224,4.849430264359571e-07,0.0,0.0,0.0,0.0,98.642168835,0.0025174328301800415,1.1122379797297185e-10,0.0,0.0,0.0,0.0,100.37322096000001,0.0025174329057335854,0.0,0.0,0.0,0.0,0.0,104.14376702,0.0025174329057335854,0.0,0.0,0.0,0.0,0.0
1,95.75128692,0.0025217629368416965,1.4482703798831832e-06,0.0,0.0,0.0,0.0,95.77314943,0.002538299206295051,6.735090083528316e-06,0.0,0.0,0.0,0.0,95.77527539999998,0.002546232024556957,1.094322844856862e-05,0.0,0.0,0.0,0.0,95.83675446000001,0.002517433690605685,2.318651408451822e-09,0.0,0.0,0.0,0.0,97.52273448000001,0.002517438503797166,6.651289342738518e-11,0.0,0.0,0.0,0.0,101.19128722999999,0.002517441566917114,8.212587259311877e-10,0.0,0.0,0.0,0.0
2,93.00621296499999,0.002522135470760986,1.1683159766200294e-06,0.0,0.0,0.0,0.0,93.02763739499999,0.0025403084515128287,5.04813905623107e-06,0.0,0.0,0.0,0.0,93.03010554,0.0025506763411685825,8.720225357951566e-06,0.0,0.0,0.0,0.0,93.09272772,0.002517433518660255,3.0411500863470717e-09,0.0,0.0,0.0,0.0,94.743517,0.0025174383562989533,1.1451386499551998e-10,0.0,0.0,0.0,0.0,98.32237676000001,0.0025174412758788094,2.1172868434465185e-10,0.0,0.0,0.0,0.0
3,90.31761903,0.0025222882179077714,1.0588940241941053e-06,0.0,0.0,0.0,0.0,90.33862168,0.0025409079244127497,4.247872655221719e-06,0.0,0.0,0.0,0.0,90.34147226500001,0.002551859063678421,7.569997955689534e-06,0.0,0.0,0.0,0.0,90.40818261499999,0.002517432815860957,2.74573382419473e-09,0.0,0.0,0.0,0.0,92.03378550000001,0.0025174382608383894,0.0,0.0,0.0,0.0,0.0,95.5346685,0.0025174411240732296,1.0669481710898092e-10,0.0,0.0,0.0,0.0
4,87.684941885,0.002522329233470373,9.798318999790489e-07,0.0,0.0,0.0,0.0,87.70552051000001,0.0025412489818409083,3.93720344531379e-06,0.0,0.0,0.0,0.0,87.708739145,0.002552460989332758,6.962528859939702e-06,0.0,0.0,0.0,0.0,87.78195431,0.002517432444379665,2.783121576991486e-09,0.0,0.0,0.0,0.0,89.3918025,0.0025174380770185962,9.491661814319525e-11,0.0,0.0,0.0,0.0,92.82586654999999,0.0025174410175532102,8.535712389193178e-11,0.0,0.0,0.0,0.0
5,85.10746674,0.002522329806117341,8.966395745596802e-07,0.0,0.0,0.0,0.0,85.12761995999999,0.002541597877861932,3.832223776824516e-06,0.0,0.0,0.0,0.0,85.1311952,0.0025527490018866957,6.635812246108366e-06,0.0,0.0,0.0,0.0,85.212958255,0.002517432479187846,2.796971332084908e-09,0.0,0.0,0.0,0.0,86.8158895,0.0025174380280077457,0.0,0.0,0.0,0.0,0.0,90.19373562999999,0.0025174408219754696,0.0,0.0,0.0,0.0,0.0
6,82.5845444375,0.0025223023232538253,8.391303930193866e-07,0.0,0.0,0.0,0.0,82.60426878999999,0.0025419036117382346,3.8314173656468e-06,0.0,0.0,0.0,0.0,82.608175735,0.0025528611511690543,6.2264813569937485e-06,0.0,0.0,0.0,0.0,82.7001178625,0.002517432656139135,2.5250353524192286e-09,0.0,0.0,0.0,0.0,84.30442099999999,0.002517437817994505,6.922396089470346e-11,0.0,0.0,0.0,0.0,87.63610628,0.002517440589144826,0.0,0.0,0.0,0.0,0.0
7,80.115472295,0.0025222938652150334,8.126013536827492e-07,0.0,0.0,0.0,0.0,80.1347670975,0.0025421046467963607,3.819216388229293e-06,0.0,0.0,0.0,0.0,80.138993025,0.0025529090306954457,5.812873182481314e-06,0.0,0.0,0.0,0.0,80.24239272,0.002517432783730328,2.2892524579260828e-09,0.0,0.0,0.0,0.0,81.855819,0.002517437795177102,0.0,0.0,0.0,0.0,0.0,85.150871,0.0025174403563141823,0.0,0.0,0.0,0.0,0.0
8,77.6995606325,0.00252231227257289,7.905399687867951e-07,0.0,0.0,0.0,0.0,77.7184391225,0.0025422268563415856,3.779578429116896e-06,0.0,0.0,0.0,0.0,77.7229642775,0.0025529237114824354,5.514921035246732e-06,0.0,0.0,0.0,0.0,77.8387910225,0.002517432834370993,2.2199587835390825e-09,0.0,0.0,0.0,0.0,79.468555,0.00251743758271914,6.579010837861172e-11,0.0,0.0,0.0,0.0,82.735977995,0.0025174401234835386,0.0,0.0,0.0,0.0,0.0
9,75.33612465,0.0025223337463103233,7.850204186685901e-07,0.0,0.0,0.0,0.0,75.3545837275,0.002542289358796552,3.7512720011058765e-06,0.0,0.0,0.0,0.0,75.35939597,0.002552897460060194,5.411671183707351e-06,0.0,0.0,0.0,0.0,75.4883734425,0.002517432833323255,2.129201279506283e-09,0.0,0.0,0.0,0.0,77.141148,0.0025174375623464584,0.0,0.0,0.0,0.0,0.0,80.389438495,0.0025174399157986043,7.226607104601838e-11,0.0,0.0,0.0,0.0
