case,time_days,dtdz_1bar_K_per_km,dtdz_6bar_K_per_km,dtdz_30bar_K_per_km
$\nu=$10.0,0.0,-1.60220900247082,-1.564099929206781,-1.6368970969029264
$\nu=$10.0,1.157488425925926,-1.5993598273223293,-1.5651621808178473,-1.6365296129866218
$\nu=$10.0,2.314831271701389,-1.6072909372345687,-1.571564098368603,-1.636446151593386
$\nu=$10.0,3.472306857638889,-1.613373681227904,-1.5756760338197,-1.6363581274818289
$\nu=$10.0,4.629759476273148,-1.6096556489119795,-1.5780191907593466,-1.6362413117925398
$\nu=$10.0,5.787097077546297,-1.6102011336258457,-1.5812965248386568,-1.6361324347779906
$\nu=$10.0,6.944544994212963,-1.6067068812741976,-1.5824319854069244,-1.635733236062201
$\nu=$10.0,8.101961805555556,-1.606647657452654,-1.5821387962689397,-1.635812354241724
$\nu=$10.0,9.259307725694445,-1.6039654225272273,-1.5812461213808549,-1.6359468347337118
$\nu=$10.0,10.416745515046296,-1.6031365063802914,-1.583894327722081,-1.636147259025123
$\nu=$10.0,11.574194155092593,-1.599264559548081,-1.580578424851674,-1.636006087663141
$\nu=$10.0,12.731556712962963,-1.6032829083222921,-1.5786374473585463,-1.6357855050526775
$\nu=$10.0,13.888977141203704,-1.6024634414278662,-1.5720496902357355,-1.6357461728236122
$\nu=$10.0,15.046423611111111,-1.6003621042621583,-1.5701085285641074,-1.6357170522490383
$\nu=$10.0,16.203817997685185,-1.6017361546874411,-1.567127710549999,-1.6354170814476932
$\nu=$10.0,17.36123263888889,-1.6011664602150866,-1.562515512411007,-1.6349046508751324
$\nu=$10.0,18.51861400462963,-1.6000523304119094,-1.559726278669509,-1.6350428663008743
$\nu=$10.0,19.675943287037036,-1.6025938197488534,-1.5605576992808567,-1.634578544610696
$\nu=$10.0,20.833333333333332,-1.5983297448684166,-1.5589761849775519,-1.634315156977558
$\nu=$10.0,21.990868055555556,-1.6004995722652526,-1.5623643326145973,-1.6343479152500495
$\nu=$10.0,23.14818287037037,-1.5986605994675298,-1.5620197341541913,-1.634114282843023
$\nu=$10.0,24.305598958333334,-1.5985812196723903,-1.5612497775795282,-1.6353240624995478
$\nu=$10.0,25.463075810185185,-1.598556226645494,-1.55700038455673,-1.6348480846788545
$\nu=$10.0,26.620457175925925,-1.5949806909503312,-1.5578366330919626,-1.63415912480353
$\nu=$10.0,27.777832754629628,-1.5984093522871021,-1.554484415778948,-1.6349726817995187
$\nu=$10.0,28.935188078703703,-1.6001741140549743,-1.5526726067603347,-1.635220536442676
$\nu=$10.0,30.092633101851852,-1.6003471417800386,-1.549798511216938,-1.6357282826608857
$\nu=$10.0,31.250078125,-1.5979470288135869,-1.5452795527389258,-1.6355083164481155
$\nu=$10.0,32.40746238425926,-1.5990788237910496,-1.54451566190586,-1.634278441161646
$\nu=$10.0,33.56484375,-1.5978189780363745,-1.544245146379381,-1.6354019077321442
$\nu=$10.0,34.72228877314815,-1.5975842033100704,-1.5428744605450517,-1.6353407807913742
$\nu=$10.0,35.87970775462963,-1.5988937550469093,-1.542984942268548,-1.6335134551699544
$\nu=$10.0,37.03710069444445,-1.599431540745517,-1.5441276978549094,-1.634597785336644
$\nu=$10.0,38.19447337962963,-1.5984661690125592,-1.5457751306147893,-1.6333289118783223
