level,-nu-0.01_pressure_bar,-nu-0.01_theta_mean,-nu-0.01_theta_std,-nu-0.1_pressure_bar,-nu-0.1_theta_mean,-nu-0.1_theta_std,-nu-1.0_pressure_bar,-nu-1.0_theta_mean,-nu-1.0_theta_std,-nu-10.0_pressure_bar,-nu-10.0_theta_mean,-nu-10.0_theta_std,-nu-50.0_pressure_bar,-nu-50.0_theta_mean,-nu-50.0_theta_std,-nu-100.0_pressure_bar,-nu-100.0_theta_mean,-nu-100.0_theta_std
0,98.583430705,162.03340084838868,0.006914977721548425,98.616533055,162.0178944091797,0.006387414471766129,98.621356495,162.01562678527833,0.005590175239775031,98.920806865,161.87476696014403,0.00039604281625798166,100.79529597999999,161.00743181610108,0.0024888999882952045,102.92236041999999,160.05054615783692,0.0017857649279216358
1,95.778898195,162.22559287261964,0.017067030618268104,95.81105744000001,162.2120917816162,0.015554432686761663,95.815873155,162.22841233062744,0.022075744485646406,96.109226785,162.3600150756836,0.004966797936304769,97.93396149,161.89609128570558,0.0014334282696521342,100.00337149,161.2374418029785,0.0012806936097587156
2,93.03316760999999,162.19934685516358,0.017739585252620982,93.06440877,162.18686135864257,0.01425509782713128,93.069432375,162.21399563598632,0.01570438930800456,93.362997975,162.80542875671387,0.004633503689007873,95.146263,162.77972074890135,0.00034220200064550486,97.164804,162.43002241516112,0.0007553703821927292
3,90.34386619000001,162.1947536468506,0.012429023035724955,90.374259855,162.18809382629394,0.009787975080760647,90.37958216499999,162.2157347717285,0.012313754990313256,90.68040490499999,163.2323525390625,0.004097616365491369,92.430299,163.6583385543823,0.0007822658966699233,94.40444099999999,163.6282964477539,0.000210458865907119
4,87.710430585,162.1837606124878,0.011529481678045662,87.7400499,162.17824224090577,0.009886224309121602,87.745664365,162.20708208465575,0.012580464368493282,88.05999049,163.64341219329833,0.005116334270680511,89.78422699999999,164.5319784927368,0.0019408580599092127,91.7201225,164.83228588104248,0.0003576358234792375
5,85.132174255,162.1808882751465,0.009269823368690512,85.16105732000001,162.1769150314331,0.008839790779982992,85.166965085,162.20602756500244,0.011742661568422274,85.500370365,164.03957791900635,0.005116789813225516,87.20625199999999,165.40069342041016,0.0031355766655435952,89.1097555,166.04200286865233,0.0009399475989199666
6,82.6084587025,162.17732242584228,0.008372440223139488,82.636640795,162.17356285858153,0.008393718378632165,82.64282208,162.20273024749756,0.01154007232025753,83.0002116,164.4212554321289,0.004873396286258121,84.69464199999999,166.2645436782837,0.004360999431135065,86.5713035,167.25747604370116,0.0015449361918035602
7,80.1386049575,162.17579387664796,0.007671308341747224,80.1660994225,162.17261531066896,0.007832933269183962,80.17254276999999,162.20149925231934,0.011176424589966401,80.5582276475,164.7889922103882,0.005382044285645264,82.247709,167.12360665893556,0.005617812278196713,84.1027885,168.47872924804688,0.0021712243491443625
8,77.721924745,162.17426647186278,0.007142779102902207,77.7487568,162.17113949584962,0.007512901470492554,77.7554385875,162.19956874847412,0.011197415614127355,78.17317052749999,165.14275576019287,0.00581558363815911,79.86381675,167.97797074127197,0.006907063657381096,81.702288,169.70578994750977,0.002816436330096312
9,75.35773823,162.1731993637085,0.0068255034219320216,75.38391446499999,162.1704235839844,0.007223991835721504,75.390821585,162.1983487930298,0.011114031310046327,75.84383427,165.48344486236573,0.006383007056184477,77.5413775,168.8277424621582,0.008225056235429067,79.367935,170.93869094848634,0.0034824871728640575
10,73.04535804999999,162.17214459228515,0.00712803325428886,73.0708891075,162.16949446868895,0.007270133794577824,73.07800262,162.19706275177003,0.010772100449792958,73.5690558725,165.81174495697022,0.007507676305403738,75.27885175,169.6730418548584,0.009574717037979786,77.0979145,172.17746963500977,0.004170504455049651
11,70.784096265,162.17131660461425,0.007345513555868767,70.8089961675,162.16871366882324,0.00735432414310978,70.8162994025,162.1961664352417,0.010122046373633316,71.34770903,166.12818799591065,0.007750261714825704,73.0747405,170.5140002746582,0.010951371715102366,74.8904635,173.42216262817382,0.004876777435987266
12,68.57327306750001,162.1705198287964,0.007385307175369304,68.5975517675,162.16797246551513,0.007594400783575314,68.6050331425,162.19545377349854,0.00960437516020624,69.1787091675,166.43367432403565,0.007689732698914127,70.927594,171.35076377105713,0.012357637054596532,72.74386975,174.6728141784668,0.005605680122361123
13,66.4122100175,162.16987243652343,0.007353426447045176,66.4358786075,162.1674119720459,0.007752291175456203,66.443520665,162.19481759643554,0.009203719700903288,67.06100171749999,166.72876529693605,0.00888237349278789,68.83599775,172.18349199676513,0.013790032799150401,70.65646625,175.92947311401366,0.006352969797516002
14,64.30023,162.16938146972657,0.0071412411856649075,64.3232981,162.16679341888428,0.007724962702616798,64.3310886625,162.19420432281495,0.008969441671132096,64.9935682125,167.01372276306154,0.009574119990102383,66.79858349999999,173.0123540802002,0.015247470298643314,68.62663625,177.19219055175782,0.007121632405476596
15,62.23666041,162.16895063781737,0.007044738279445042,62.2591365325,162.16598944854735,0.0076847674636197705,62.2670626975,162.19383917999266,0.008897497417270155,62.975414747500004,167.28933849334717,0.009478922924739522,64.81401825,173.83753424072265,0.016732110619168603,66.65280625,178.4610168457031,0.007910597753566015
16,60.22082845,162.1682967605591,0.00705559689228711,60.242722317500004,162.1651375427246,0.007696945062700131,60.2507729575,162.19352743530274,0.008785884690700546,61.005582347499995,167.55628106689454,0.010523759258476517,62.881008,174.65923160552978,0.018238043996679512,64.73344900000001,179.73601303100585,0.008718818227770599
