case,time_days,theta_1bar,theta_6bar,theta_30bar
$\nu=$0.01,0.0,162.03770446777344,162.03758239746094,162.03765869140625
$\nu=$0.01,1.157481372974537,161.9230487950491,162.0315075780185,162.03757699920655
$\nu=$0.01,2.3148209635416666,161.8268095061146,162.02227820259577,162.03757645184695
$\nu=$0.01,3.4722978153935187,161.76395747209813,162.00926544520135,162.0375828459172
$\nu=$0.01,4.629767071759259,161.73853922877146,161.9826624040448,162.03759345283578
$\nu=$0.01,5.787090205439815,161.6909185048684,161.94978571212823,162.03760943410788
$\nu=$0.01,6.944517505787037,161.7001638991085,161.91335010339319,162.0376378782503
$\nu=$0.01,8.1019140625,161.7426341760668,161.8711625717768,162.03785258339832
$\nu=$0.01,9.259357638888888,161.73259284457046,161.8232065227353,162.03797048961152
$\nu=$0.01,10.416723813657407,161.7052398398457,161.76603169883646,162.0390548477116
$\nu=$0.01,11.57408203125,161.64671817524328,161.73447823265926,162.03634908850077
$\nu=$0.01,12.731493055555555,161.62874846731484,161.71250193351165,162.03667658586977
$\nu=$0.01,13.888939525462963,161.6121034682669,161.68861025414657,162.0386982169384
$\nu=$0.01,15.04630787037037,161.58702585795226,161.68831766409866,162.0433691309277
$\nu=$0.01,16.203836805555557,161.56261476671153,161.70633604253607,162.04218471855734
$\nu=$0.01,17.361158854166668,161.53696756465652,161.72456159140546,162.04741191534524
$\nu=$0.01,18.51855758101852,161.52179813415273,161.73386807928367,162.04990299668367
$\nu=$0.01,19.675950520833332,161.5004057303203,161.7447324359412,162.0547452714884
$\nu=$0.01,20.833349247685184,161.472328277959,161.75981485983652,162.0596161558779
$\nu=$0.01,21.990791377314814,161.45337421020852,161.76530244014546,162.059756261165
$\nu=$0.01,23.148191550925926,161.43083521049638,161.7517520946699,162.0650618149496
$\nu=$0.01,24.30566550925926,161.40743346782625,161.74760330547633,162.06403558760155
$\nu=$0.01,25.463061342592592,161.35996412741292,161.75410203960618,162.06852921177824
$\nu=$0.01,26.620381944444443,161.37712179872133,161.75668459135358,162.07631924893184
$\nu=$0.01,27.777899305555554,161.33104871204017,161.76951536226144,162.08167858372258
$\nu=$0.01,28.935225694444444,161.31996094466368,161.77460390818013,162.08424683788564
$\nu=$0.01,30.092662037037037,161.28831585201542,161.76049388885977,162.09094664834865
$\nu=$0.01,31.25003472222222,161.2771599883219,161.7744607020892,162.09200147647707
$\nu=$0.01,32.40751736111111,161.23680809820817,161.78627303702353,162.09342860441637
$\nu=$0.01,33.56489872685185,161.20287592179133,161.78249369309788,162.09618864033058
$\nu=$0.01,34.72235532407407,161.1865463479976,161.78215893023412,162.1035301736114
$\nu=$0.01,35.87970486111111,161.13461601450587,161.789081680265,162.10339535838708
$\nu=$0.01,37.03715277777778,161.11733419670142,161.78734530612743,162.10623212560282
$\nu=$0.01,38.194461805555555,161.10228896263624,161.78395801870428,162.106210513911
$\nu=$0.01,39.35199074074074,161.08203757799978,161.77852465995315,162.11027301383024
$\nu=$0.01,40.50926215277778,161.04401241802753,161.77136775507594,162.11333620240129
$\nu=$0.01,41.66679108796296,161.03410300387947,161.77850557741476,162.11488805534034
$\nu=$0.01,42.82414930555556,160.99327032343115,161.7610331806612,162.11511741864558
$\nu=$0.01,43.98158564814815,160.97179002082828,161.76781896961663,162.11559365942193
$\nu=$0.01,45.13899884259259,160.95215619674434,161.75204123199975,162.1198581006274
$\nu=$0.01,46.296394675925924,160.91822777701057,161.7480079827395,162.11967865070858
$\nu=$0.01,47.453799189814816,160.9040219748936,161.72633489475845,162.1217438677413
$\nu=$0.01,48.611232638888886,160.8699983322797,161.73688244176205,162.12542646531193
$\nu=$0.01,49.76852430555556,160.83580210768554,161.7206132198724,162.12464458356834
$\nu=$0.01,50.92597800925926,160.80959640275537,161.70816952266955,162.12891913980746
$\nu=$0.01,52.08341435185185,160.79197756156645,161.70177644143618,162.13715591045238
$\nu=$0.01,53.240775462962965,160.77099664500537,161.6745945826399,162.13610389574322
$\nu=$0.01,54.39822337962963,160.7220054762374,161.68925794744098,162.132814500146
$\nu=$0.01,55.55568287037037,160.719735396027,161.66705306684875,162.13449491716293
$\nu=$0.01,56.71307291666667,160.69698838535706,161.64266286446946,162.1345211385921
$\nu=$0.01,57.8704224537037,160.7000988776709,161.61769554802427,162.13567664020795
$\nu=$0.01,59.02783564814815,160.63171384307944,161.61325809928942,162.13597555112213
$\nu=$0.01,60.18530671296296,160.6228017630912,161.62201922028464,162.13809531220025
$\nu=$0.01,61.34261574074074,160.61409056198866,161.60969055225652,162.1409396439703
$\nu=$0.01,62.50013888888889,160.59442481335645,161.6037256956569,162.13974573003995
$\nu=$0.01,63.65744212962963,160.55875913316197,161.57374125144185,162.1421394086723
$\nu=$0.01,64.8149074074074,160.52774922974925,161.55769354705393,162.1425967788009
$\nu=$0.01,65.97234375,160.51092418843135,161.5557521503737,162.1428484918016
$\nu=$0.01,67.12970486111111,160.48496873690985,161.5226046803784,162.14269523095896
$\nu=$0.01,68.28716435185186,160.4434771535638,161.49877351390245,162.14679699792356
$\nu=$0.01,69.4445775462963,160.43253288168407,161.4705482795746,162.14556927901376
$\nu=$0.01,70.60195023148148,160.39501672435708,161.40982772674653,162.146938476079
$\nu=$0.01,71.75931712962964,160.40943862175098,161.3948104224253,162.1458882059423
$\nu=$0.01,72.91670717592592,160.35354285635495,161.38333960984343,162.14712062477625
$\nu=$0.01,74.07417245370371,160.36518108165427,161.38190141692434,162.14923081747165
$\nu=$0.01,75.23159722222222,160.32956564397685,161.34656563786424,162.14949538722263
$\nu=$0.01,76.38901041666666,160.3020435802777,161.31539654524832,162.1528046870983
$\nu=$0.01,77.54638888888888,160.29130666490448,161.29725511390257,162.15602774037959
$\nu=$0.01,78.70378472222222,160.30864565903593,161.3158114195684,162.15663130621414
$\nu=$0.01,79.86119212962963,160.32580859533633,161.2800764038422,162.1568693503262
$\nu=$0.01,81.01858217592593,160.26922851098115,161.25062109364796,162.15650848852363
$\nu=$0.01,82.17601273148148,160.23475527838093,161.3053524090977,162.15647367920315
$\nu=$0.01,83.33336226851851,160.19037411052133,161.27605490032607,162.15693495037857
$\nu=$0.01,84.49083912037037,160.18237487152285,161.28237663902092,162.15594253712533
$\nu=$0.01,85.64826967592593,160.14994017030892,161.23377599191238,162.1563920289945
$\nu=$0.01,86.80564814814815,160.21038616231093,161.1486443164179,162.1588215491348
$\nu=$0.01,87.96305555555556,160.2034136327804,161.10301855479074,162.16161428915424
$\nu=$0.01,89.12048032407408,160.15556733417617,161.11883145396766,162.16795622710188
$\nu=$0.01,90.27785300925926,160.1115328071587,161.09206189469762,162.16708828260352
$\nu=$0.01,91.43532407407407,160.10392596185895,161.09624008030823,162.16418634332214
$\nu=$0.01,92.59266203703703,160.0593693765221,161.0959838877873,162.16329788833224
$\nu=$0.01,93.75006365740741,160.0318003644994,161.09873829451433,162.1649383522691
$\nu=$0.01,94.90747685185185,160.03844566735756,161.08305050971316,162.16332621713033
$\nu=$0.01,96.06487268518518,159.99564978078587,161.07409732876616,162.16236514931464
$\nu=$0.01,97.22232638888889,159.9722463320319,161.07945563951796,162.16323598775577
$\nu=$0.01,98.37966435185186,159.93387542770003,161.08312793970924,162.16579949741356
$\nu=$0.01,99.53711805555555,159.921131544239,161.1247689247905,162.1652124590991
$\nu=$0.01,100.69447916666667,159.9154605839257,161.12526622586776,162.16613043922084
$\nu=$0.01,101.85194444444444,159.9159172258688,161.0433459230432,162.16780431826368
$\nu=$0.01,103.00930555555556,159.91113770457108,160.97823798031578,162.17132465186089
$\nu=$0.01,104.16674768518519,159.9053436130231,160.9883048147468,162.17055599983172
$\nu=$0.01,105.32416666666667,159.86663762386428,160.97674429076912,162.17024629398352
$\nu=$0.01,106.48158564814815,159.8297609890269,160.90698638489113,162.17056251807338
$\nu=$0.01,107.63890046296297,159.85377676548933,160.8604798336787,162.16892018189768
$\nu=$0.01,108.79643518518519,159.8037968246362,160.80309348956177,162.17221631456965
$\nu=$0.01,109.95383101851851,159.8404955737346,160.7844485889005,162.17066309985037
$\nu=$0.01,111.11123842592593,159.84538668585455,160.62694537477637,162.16990990385648
$\nu=$0.01,112.26858796296297,159.8712798886986,160.6321887914468,162.17099153708352
$\nu=$0.01,113.4259375,159.80648223714726,160.6133572047109,162.1734186528477
$\nu=$0.01,114.58344907407407,159.7696261587711,160.57026728205898,162.17550922658506
$\nu=$0.01,115.74075231481481,159.75475109373934,160.59586533921689,162.17818622422294
$\nu=$0.01,116.89827546296296,159.7487912843217,160.57608802571707,162.17678707273149
$\nu=$0.01,118.0556712962963,159.77420749753972,160.4909264506308,162.17780766600066
$\nu=$0.01,119.21297453703704,159.80429708318553,160.49697305923985,162.1796939352828
$\nu=$0.01,120.37050925925926,159.74754396443268,160.41754845066038,162.17874489639811
$\nu=$0.01,121.52784722222222,159.75329821147096,160.3632257977952,162.1818038537761
$\nu=$0.01,122.68527777777778,159.7551421026422,160.41251841921465,162.1802862618996
$\nu=$0.01,123.84267361111111,159.72482208804587,160.29610751379934,162.1802727767666
$\nu=$0.01,125.00006944444445,159.7449761599158,160.33663071915277,162.17798085143968
$\nu=$0.01,126.15746527777777,159.71240612090668,160.2383371817429,162.17794568146917
$\nu=$0.01,127.31482638888889,159.72421675268885,160.3994973257662,162.18052621856708
$\nu=$0.01,128.47226851851852,159.75473315230053,160.27495603563173,162.18188132421585
$\nu=$0.01,129.6296412037037,159.81681367983373,160.30256933621428,162.17892284731974
$\nu=$0.01,130.78712962962962,159.7749845515571,160.24289462390632,162.18424340460123
