level,-nu-0.01_pressure_bar,-nu-0.01_H2O_mean,-nu-0.01_H2O_std,-nu-0.01_H2O_l__mean,-nu-0.01_H2O_l__std,-nu-0.01_H2O_l_p__mean,-nu-0.01_H2O_l_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2O_mean,-nu-0.1_H2O_std,-nu-0.1_H2O_l__mean,-nu-0.1_H2O_l__std,-nu-0.1_H2O_l_p__mean,-nu-0.1_H2O_l_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2O_mean,-nu-1.0_H2O_std,-nu-1.0_H2O_l__mean,-nu-1.0_H2O_l__std,-nu-1.0_H2O_l_p__mean,-nu-1.0_H2O_l_p__std,-nu-10.0_pressure_bar,-nu-10.0_H2O_mean,-nu-10.0_H2O_std,-nu-10.0_H2O_l__mean,-nu-10.0_H2O_l__std,-nu-10.0_H2O_l_p__mean,-nu-10.0_H2O_l_p__std,-nu-100.0_pressure_bar,-nu-100.0_H2O_mean,-nu-100.0_H2O_std,-nu-100.0_H2O_l__mean,-nu-100.0_H2O_l__std,-nu-100.0_H2O_l_p__mean,-nu-100.0_H2O_l_p__std
0,98.62821193,0.02496455954015255,1.7105790020707132e-07,0.0,0.0,0.0,0.0,98.63060514,0.024964560956694186,1.5742834192489448e-07,0.0,0.0,0.0,0.0,98.65481457499999,0.02496452353708446,9.707919965583402e-10,0.0,0.0,0.0,0.0,99.23616698999999,0.024964522570371628,0.0,0.0,0.0,0.0,0.0,103.19004242000001,0.024964522570371628,0.0,0.0,0.0,0.0,0.0
1,95.82360782500001,0.02500706183258444,1.270777410216686e-05,0.0,0.0,0.0,0.0,95.826080215,0.025090913380496203,2.352196673412232e-05,0.0,0.0,0.0,0.0,95.85010041999999,0.02496552589163184,4.316417542622939e-08,0.0,0.0,0.0,0.0,96.415373,0.024964550513774157,8.321668171766653e-11,0.0,0.0,0.0,0.0,100.26358197,0.02496460778079927,3.1746987527012197e-09,0.0,0.0,0.0,0.0
2,93.079409505,0.025020858925767244,6.3610176553339215e-06,0.0,0.0,0.0,0.0,93.08220868000001,0.025123340064659716,1.3861290430429025e-05,0.0,0.0,0.0,0.0,93.10753248,0.024967094777151942,7.176892255631623e-08,0.0,0.0,0.0,0.0,93.6598465,0.024964550510048866,0.0,0.0,0.0,0.0,0.0,97.417978495,0.024964604517444967,1.3137921672003234e-10,0.0,0.0,0.0,0.0
3,90.39207893999999,0.02502329130936414,3.463672986966744e-06,0.0,0.0,0.0,0.0,90.395211205,0.025128526533022524,8.735472408916414e-06,0.0,0.0,0.0,0.0,90.423393795,0.02496872072480619,7.088257658316188e-08,0.0,0.0,0.0,0.0,90.96808149499999,0.024964550510048866,0.0,0.0,0.0,0.0,0.0,94.6509915,0.024964602664113045,0.0,0.0,0.0,0.0,0.0
4,87.76059313500001,0.025023811856284738,2.722493143468735e-06,0.0,0.0,0.0,0.0,87.76397483999999,0.025129419388249516,6.6135818738746635e-06,0.0,0.0,0.0,0.0,87.79590856,0.024970016034319996,4.949301014208881e-08,0.0,0.0,0.0,0.0,88.338627175,0.02496454905718565,7.715938678833836e-10,0.0,0.0,0.0,0.0,91.9604525,0.024964600801467896,0.0,0.0,0.0,0.0,0.0
5,85.184201125,0.025023912509903313,2.6980955165263817e-06,0.0,0.0,0.0,0.0,85.18782038,0.025129258318804203,6.467851413453708e-06,0.0,0.0,0.0,0.0,85.22400197,0.02497079773247242,2.3860309583532296e-08,0.0,0.0,0.0,0.0,85.7700865,0.024964548647403717,0.0,0.0,0.0,0.0,0.0,89.3442465,0.024964598938822746,0.0,0.0,0.0,0.0,0.0
6,82.66223722,0.025024056890048087,2.6377202862901633e-06,0.0,0.0,0.0,0.0,82.66609669,0.025129036232829093,6.576365567326481e-06,0.0,0.0,0.0,0.0,82.7067968675,0.024971085392870008,4.0802421808001076e-09,0.0,0.0,0.0,0.0,83.261115,0.024964548647403717,0.0,0.0,0.0,0.0,0.0,86.800319,0.024964597076177597,0.0,0.0,0.0,0.0,0.0
7,80.194019885,0.02502424144372344,2.4460646608990042e-06,0.0,0.0,0.0,0.0,80.198122255,0.025128854640759528,6.441795520722309e-06,0.0,0.0,0.0,0.0,80.24346401,0.02497103300318122,6.714146213022786e-09,0.0,0.0,0.0,0.0,80.810415,0.02496454800758511,8.845265263853974e-10,0.0,0.0,0.0,0.0,84.3266765,0.024964595213532448,0.0,0.0,0.0,0.0,0.0
8,77.77886268249999,0.025024438976310192,2.3982890430364056e-06,0.0,0.0,0.0,0.0,77.7832091325,0.02512867185473442,6.383285011590692e-06,0.0,0.0,0.0,0.0,77.8332048575,0.02497083420213312,9.145570184844225e-09,0.0,0.0,0.0,0.0,78.41673813,0.024964546784758568,0.0,0.0,0.0,0.0,0.0,81.92138561499999,0.0249645933508873,0.0,0.0,0.0,0.0,0.0
9,75.416079635,0.025024637739174068,2.4039483983845894e-06,0.0,0.0,0.0,0.0,75.42066979,0.025128610618412494,6.751798088607913e-06,0.0,0.0,0.0,0.0,75.4752616,0.02497064248099923,6.984943151433309e-09,0.0,0.0,0.0,0.0,76.07887681,0.024964546784758568,0.0,0.0,0.0,0.0,0.0,79.58256225,0.02496459148824215,0.0,0.0,0.0,0.0,0.0
