level,-nu-0.01_pressure_bar,-nu-0.01_H2O_vapor_mean,-nu-0.01_H2O_vapor_std,-nu-0.01_H2O_l__mean,-nu-0.01_H2O_l__std,-nu-0.01_H2O_l_p__mean,-nu-0.01_H2O_l_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2O_vapor_mean,-nu-0.1_H2O_vapor_std,-nu-0.1_H2O_l__mean,-nu-0.1_H2O_l__std,-nu-0.1_H2O_l_p__mean,-nu-0.1_H2O_l_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2O_vapor_mean,-nu-1.0_H2O_vapor_std,-nu-1.0_H2O_l__mean,-nu-1.0_H2O_l__std,-nu-1.0_H2O_l_p__mean,-nu-1.0_H2O_l_p__std,-nu-10.0_pressure_bar,-nu-10.0_H2O_vapor_mean,-nu-10.0_H2O_vapor_std,-nu-10.0_H2O_l__mean,-nu-10.0_H2O_l__std,-nu-10.0_H2O_l_p__mean,-nu-10.0_H2O_l_p__std,-nu-100.0_pressure_bar,-nu-100.0_H2O_vapor_mean,-nu-100.0_H2O_vapor_std,-nu-100.0_H2O_l__mean,-nu-100.0_H2O_l__std,-nu-100.0_H2O_l_p__mean,-nu-100.0_H2O_l_p__std
0,98.56622974999999,0.024964551964774727,8.417083088810565e-08,0.0,0.0,0.0,0.0,98.570639275,0.024964540916495026,5.113409950660281e-08,0.0,0.0,0.0,0.0,98.574168535,0.024964523580856622,2.1042068615133242e-09,0.0,0.0,0.0,0.0,98.69402394,0.024964522570371628,0.0,0.0,0.0,0.0,0.0,100.11685442,0.024964522570371628,0.0,0.0,0.0,0.0,0.0
1,95.76263002,0.02498439366836101,6.493600826130625e-06,0.0,0.0,0.0,0.0,95.76696051,0.02499382827244699,8.783363700391778e-06,0.0,0.0,0.0,0.0,95.770428685,0.024967220810241997,3.152809526905681e-07,0.0,0.0,0.0,0.0,95.88639597999999,0.024964530020952225,0.0,0.0,0.0,0.0,0.0,97.27285649,0.024964569211937487,4.36271695646689e-10,0.0,0.0,0.0,0.0
2,93.01840542,0.024984293247573078,4.95714437314936e-06,0.0,0.0,0.0,0.0,93.02261483999999,0.02499416739214212,9.968438578210753e-06,0.0,0.0,0.0,0.0,93.02643053999999,0.024969849132932723,4.071372683600039e-07,0.0,0.0,0.0,0.0,93.1393559,0.024964530020952225,0.0,0.0,0.0,0.0,0.0,94.4984535,0.0249645679872483,9.054658903918525e-10,0.0,0.0,0.0,0.0
3,90.330770015,0.024984791575931014,4.374184679415313e-06,0.0,0.0,0.0,0.0,90.33477008999999,0.02499288646411151,1.319477206995541e-05,0.0,0.0,0.0,0.0,90.339160615,0.024971067687496542,3.3091370889667955e-07,0.0,0.0,0.0,0.0,90.45163677999999,0.024964530020952225,0.0,0.0,0.0,0.0,0.0,91.7919385,0.024964567264541982,1.3137921672003242e-10,0.0,0.0,0.0,0.0
4,87.69900449999999,0.024984696027822793,4.4423868696365916e-06,0.0,0.0,0.0,0.0,87.702796105,0.024992170967161654,1.3892392113553375e-05,0.0,0.0,0.0,0.0,87.707605645,0.024971189077943563,2.0436013681667158e-07,0.0,0.0,0.0,0.0,87.82204174,0.024964530020952225,0.0,0.0,0.0,0.0,0.0,89.151655,0.024964565894566478,8.16509680852388e-10,0.0,0.0,0.0,0.0
5,85.12238789999999,0.024984873537905513,4.468851032234417e-06,0.0,0.0,0.0,0.0,85.12599287,0.024991968096233906,1.4159916239273023e-05,0.0,0.0,0.0,0.0,85.13116661000001,0.02497097109630704,9.697575939302607e-08,0.0,0.0,0.0,0.0,85.24944662,0.02496453001536429,1.0186812962498752e-10,0.0,0.0,0.0,0.0,86.5760015,0.024964565376751124,2.5099272975892275e-10,0.0,0.0,0.0,0.0
6,82.6002618475,0.02498487244080752,4.359439052913377e-06,0.0,0.0,0.0,0.0,82.60370110999999,0.024991969746537508,1.4295846000706856e-05,0.0,0.0,0.0,0.0,82.6092252175,0.024970867129974067,3.7240263246999124e-08,0.0,0.0,0.0,0.0,82.732783865,0.024964529950171708,3.561307383189722e-10,0.0,0.0,0.0,0.0,84.0634325,0.024964563890360295,7.209850418389885e-10,0.0,0.0,0.0,0.0
7,80.13192947,0.024984992581419646,4.2751924146794026e-06,0.0,0.0,0.0,0.0,80.1352206125,0.02499225647188723,1.410402967470367e-05,0.0,0.0,0.0,0.0,80.14110947,0.024970929177477955,3.969713980773236e-08,0.0,0.0,0.0,0.0,80.2710448325,0.024964529653079808,7.415427552347864e-10,0.0,0.0,0.0,0.0,81.61244474499999,0.02496456351596862,2.4423923421545613e-10,0.0,0.0,0.0,0.0
8,77.71670575,0.02498512630723417,4.051854861986825e-06,0.0,0.0,0.0,0.0,77.71986745,0.024992408426478506,1.3891609989380038e-05,0.0,0.0,0.0,0.0,77.72612854249999,0.024971037230454386,3.866592954299775e-08,0.0,0.0,0.0,0.0,77.8632705725,0.024964529049582778,9.304611685260504e-10,0.0,0.0,0.0,0.0,79.22158825,0.02496456202957779,7.225040629845639e-10,0.0,0.0,0.0,0.0
9,75.3539027725,0.024985278389416634,3.8653297510271805e-06,0.0,0.0,0.0,0.0,75.3569516325,0.024992336937226356,1.3715421843763688e-05,0.0,0.0,0.0,0.0,75.3635880625,0.024971102729439736,1.8748481929138916e-08,0.0,0.0,0.0,0.0,75.5085480675,0.024964528439566494,6.669180082989972e-10,0.0,0.0,0.0,0.0,76.88945822,0.024964561680331825,1.0186812962498748e-10,0.0,0.0,0.0,0.0
10,73.04283803999999,0.024985368967056273,3.967934420084699e-06,0.0,0.0,0.0,0.0,73.04578732750001,0.024992266898043455,1.3313240093312142e-05,0.0,0.0,0.0,0.0,73.05279795749999,0.024971112773753704,8.325350351929912e-09,0.0,0.0,0.0,0.0,73.20600734,0.024964528189972045,2.4078606274885774e-10,0.0,0.0,0.0,0.0,74.61469,0.024964560319669545,8.23528799685992e-10,0.0,0.0,0.0,0.0
11,70.7828304775,0.024985415370203556,4.397492495655223e-06,0.0,0.0,0.0,0.0,70.7856905825,0.02499227415397763,1.2880774223578222e-05,0.0,0.0,0.0,0.0,70.7930722525,0.024971087377518415,1.85615074188751e-08,0.0,0.0,0.0,0.0,70.9548101375,0.024964528158307076,0.0,0.0,0.0,0.0,0.0,72.3959655,0.024964559823274612,0.0,0.0,0.0,0.0,0.0
