level,-nu-0.01_pressure_bar,-nu-0.01_NH3_mean,-nu-0.01_NH3_std,-nu-0.01_NH3_s__mean,-nu-0.01_NH3_s__std,-nu-0.01_NH3_s_p__mean,-nu-0.01_NH3_s_p__std,-nu-0.1_pressure_bar,-nu-0.1_NH3_mean,-nu-0.1_NH3_std,-nu-0.1_NH3_s__mean,-nu-0.1_NH3_s__std,-nu-0.1_NH3_s_p__mean,-nu-0.1_NH3_s_p__std,-nu-1.0_pressure_bar,-nu-1.0_NH3_mean,-nu-1.0_NH3_std,-nu-1.0_NH3_s__mean,-nu-1.0_NH3_s__std,-nu-1.0_NH3_s_p__mean,-nu-1.0_NH3_s_p__std,-nu-10.0_pressure_bar,-nu-10.0_NH3_mean,-nu-10.0_NH3_std,-nu-10.0_NH3_s__mean,-nu-10.0_NH3_s__std,-nu-10.0_NH3_s_p__mean,-nu-10.0_NH3_s_p__std,-nu-100.0_pressure_bar,-nu-100.0_NH3_mean,-nu-100.0_NH3_std,-nu-100.0_NH3_s__mean,-nu-100.0_NH3_s__std,-nu-100.0_NH3_s_p__mean,-nu-100.0_NH3_s_p__std
0,98.62821193,0.0025175028789089994,3.0956949572556753e-07,0.0,0.0,0.0,0.0,98.63060514,0.002517481221817434,1.9735755345840166e-07,0.0,0.0,0.0,0.0,98.65481457499999,0.0025174328121356664,1.2372840350970682e-10,0.0,0.0,0.0,0.0,99.23616698999999,0.0025174329057335854,0.0,0.0,0.0,0.0,0.0,103.19004242000001,0.0025174329057335854,0.0,0.0,0.0,0.0,0.0
1,95.82360782500001,0.0025908129519084467,2.07132720559058e-05,0.0,0.0,0.0,0.0,95.826080215,0.0026748381791403516,2.8723554864935075e-05,0.0,0.0,0.0,0.0,95.85010041999999,0.0025175784063758326,6.250274251035397e-09,0.0,0.0,0.0,0.0,96.415373,0.002517435579909943,1.1636635888748328e-10,0.0,0.0,0.0,0.0,100.26358197,0.002517441320233047,3.018189300428852e-10,0.0,0.0,0.0,0.0
2,93.079409505,0.0026143192574381827,1.0095177644103169e-05,0.0,0.0,0.0,0.0,93.08220868000001,0.0027128805530956014,1.5608188889147295e-05,0.0,0.0,0.0,0.0,93.10753248,0.0025178051241673527,1.0338067164262725e-08,0.0,0.0,0.0,0.0,93.6598465,0.002517435496789403,7.791577563040862e-11,0.0,0.0,0.0,0.0,97.417978495,0.0025174409658648075,1.1312694464001228e-10,0.0,0.0,0.0,0.0
3,90.39207893999999,0.002619282676721923,5.865339514654944e-06,0.0,0.0,0.0,0.0,90.395211205,0.002719706157455221,9.623045115687783e-06,0.0,0.0,0.0,0.0,90.423393795,0.0025180384763516485,1.0125443485377578e-08,0.0,0.0,0.0,0.0,90.96808149499999,0.0025174354668706656,0.0,0.0,0.0,0.0,0.0,94.6509915,0.0025174408219754696,0.0,0.0,0.0,0.0,0.0
4,87.76059313500001,0.002620668354211375,4.837630688433632e-06,0.0,0.0,0.0,0.0,87.76397483999999,0.0027217610510997473,6.906975235342104e-06,0.0,0.0,0.0,0.0,87.79590856,0.002518222257727757,6.955762070137541e-09,0.0,0.0,0.0,0.0,88.338627175,0.0025174354668706656,0.0,0.0,0.0,0.0,0.0,91.9604525,0.002517440589144826,0.0,0.0,0.0,0.0,0.0
5,85.184201125,0.002621345232357271,4.795707811198786e-06,0.0,0.0,0.0,0.0,85.18782038,0.0027226584634045137,6.0153489185112365e-06,0.0,0.0,0.0,0.0,85.22400197,0.002518330397666432,3.208019302551356e-09,0.0,0.0,0.0,0.0,85.7700865,0.0025174354200717063,9.330642654688894e-11,0.0,0.0,0.0,0.0,89.3442465,0.0025174403563141823,0.0,0.0,0.0,0.0,0.0
6,82.66223722,0.002621835049940273,4.6759311297417876e-06,0.0,0.0,0.0,0.0,82.66609669,0.0027228970241267234,5.738562111101344e-06,0.0,0.0,0.0,0.0,82.7067968675,0.0025183664482319726,3.531673066285885e-10,0.0,0.0,0.0,0.0,83.261115,0.0025174352360190825,2.137449982942842e-11,0.0,0.0,0.0,0.0,86.800319,0.0025174401234835386,0.0,0.0,0.0,0.0,0.0
7,80.194019885,0.0026224143997533246,4.279968620139952e-06,0.0,0.0,0.0,0.0,80.198122255,0.0027227280403021724,5.659940477466395e-06,0.0,0.0,0.0,0.0,80.24346401,0.0025183534062234686,1.193097912566709e-09,0.0,0.0,0.0,0.0,80.810415,0.002517435234040022,0.0,0.0,0.0,0.0,0.0,84.3266765,0.0025174400332616644,1.1343028902719423e-10,0.0,0.0,0.0,0.0
8,77.77886268249999,0.0026229815296828747,3.952882889764966e-06,0.0,0.0,0.0,0.0,77.7832091325,0.002722390173468739,5.853434678345746e-06,0.0,0.0,0.0,0.0,77.8332048575,0.002518319816561416,1.4986950799741144e-09,0.0,0.0,0.0,0.0,78.41673813,0.002517435234040022,0.0,0.0,0.0,0.0,0.0,81.92138561499999,0.002517439890652895,0.0,0.0,0.0,0.0,0.0
9,75.416079635,0.0026234253681031985,3.7193303391187165e-06,0.0,0.0,0.0,0.0,75.42066979,0.0027220157000701875,6.137474058329317e-06,0.0,0.0,0.0,0.0,75.4752616,0.0025182885521790013,1.112940163693267e-09,0.0,0.0,0.0,0.0,76.07887681,0.002517435223679058,4.801041830870697e-11,0.0,0.0,0.0,0.0,79.58256225,0.0025174396578222513,0.0,0.0,0.0,0.0,0.0
