level,-nu-0.01_pressure_bar,-nu-0.01_NH3_vapor_mean,-nu-0.01_NH3_vapor_std,-nu-0.01_NH3_s__mean,-nu-0.01_NH3_s__std,-nu-0.01_NH3_s_p__mean,-nu-0.01_NH3_s_p__std,-nu-0.1_pressure_bar,-nu-0.1_NH3_vapor_mean,-nu-0.1_NH3_vapor_std,-nu-0.1_NH3_s__mean,-nu-0.1_NH3_s__std,-nu-0.1_NH3_s_p__mean,-nu-0.1_NH3_s_p__std,-nu-1.0_pressure_bar,-nu-1.0_NH3_vapor_mean,-nu-1.0_NH3_vapor_std,-nu-1.0_NH3_s__mean,-nu-1.0_NH3_s__std,-nu-1.0_NH3_s_p__mean,-nu-1.0_NH3_s_p__std,-nu-10.0_pressure_bar,-nu-10.0_NH3_vapor_mean,-nu-10.0_NH3_vapor_std,-nu-10.0_NH3_s__mean,-nu-10.0_NH3_s__std,-nu-10.0_NH3_s_p__mean,-nu-10.0_NH3_s_p__std,-nu-100.0_pressure_bar,-nu-100.0_NH3_vapor_mean,-nu-100.0_NH3_vapor_std,-nu-100.0_NH3_s__mean,-nu-100.0_NH3_s__std,-nu-100.0_NH3_s_p__mean,-nu-100.0_NH3_s_p__std
0,98.56622974999999,0.002517464288859628,8.39919803950773e-08,0.0,0.0,0.0,0.0,98.570639275,0.0025174465441377834,3.7285252505817855e-08,0.0,0.0,0.0,0.0,98.574168535,0.0025174328229622916,3.504947899799873e-10,0.0,0.0,0.0,0.0,98.69402394,0.0025174329057335854,0.0,0.0,0.0,0.0,0.0,100.11685442,0.0025174329057335854,0.0,0.0,0.0,0.0,0.0
1,95.76263002,0.0025336014677304775,4.535042742213847e-06,0.0,0.0,0.0,0.0,95.76696051,0.0025380156356841327,5.75375949680874e-06,0.0,0.0,0.0,0.0,95.770428685,0.002517878190265037,5.75509792611394e-08,0.0,0.0,0.0,0.0,95.88639597999999,0.0025174333723261954,1.4696022344808557e-11,0.0,0.0,0.0,0.0,97.27285649,0.0025174374112393707,1.1590172866263373e-10,0.0,0.0,0.0,0.0
2,93.01840542,0.002535507962689735,3.027348341794785e-06,0.0,0.0,0.0,0.0,93.02261483999999,0.0025413188352249563,4.784487855859961e-06,0.0,0.0,0.0,0.0,93.02643053999999,0.0025182993413181975,7.243913100595205e-08,0.0,0.0,0.0,0.0,93.1393559,0.002517433372675441,1.7219632448099158e-11,0.0,0.0,0.0,0.0,94.4984535,0.0025174373293993997,5.204949738948645e-12,0.0,0.0,0.0,0.0
3,90.330770015,0.002535965228220448,2.427215126298205e-06,0.0,0.0,0.0,0.0,90.33477008999999,0.0025421531774336473,5.043353784306534e-06,0.0,0.0,0.0,0.0,90.339160615,0.002518476440454833,5.228904496239163e-08,0.0,0.0,0.0,0.0,90.45163677999999,0.0025174333713948727,0.0,0.0,0.0,0.0,0.0,91.7919385,0.0025174371864413844,1.133217502489147e-10,0.0,0.0,0.0,0.0
4,87.69900449999999,0.0025360845837276427,2.2609000534926796e-06,0.0,0.0,0.0,0.0,87.702796105,0.002542311141383834,5.032367294257553e-06,0.0,0.0,0.0,0.0,87.707605645,0.0025184631556039675,3.3074940051170535e-08,0.0,0.0,0.0,0.0,87.82204174,0.0025174333713948727,0.0,0.0,0.0,0.0,0.0,89.151655,0.002517437096685171,0.0,0.0,0.0,0.0,0.0
5,85.12238789999999,0.0025360768986865878,2.2399993170270052e-06,0.0,0.0,0.0,0.0,85.12599287,0.002542235076194629,4.9736285769258235e-06,0.0,0.0,0.0,0.0,85.13116661000001,0.002518385999952443,2.2382252010677425e-08,0.0,0.0,0.0,0.0,85.24944662,0.0025174333713948727,0.0,0.0,0.0,0.0,0.0,86.5760015,0.0025174370270688085,1.0659448652505187e-10,0.0,0.0,0.0,0.0
6,82.6002618475,0.0025360976181691515,2.1663270256169077e-06,0.0,0.0,0.0,0.0,82.60370110999999,0.002542094723903574,4.8915649169988925e-06,0.0,0.0,0.0,0.0,82.6092252175,0.0025183236135635527,1.4705411444663748e-08,0.0,0.0,0.0,0.0,82.732783865,0.0025174333713948727,0.0,0.0,0.0,0.0,0.0,84.0634325,0.0025174368645530195,1.2733516203123442e-11,0.0,0.0,0.0,0.0
7,80.13192947,0.002536077534314245,2.0956811051519802e-06,0.0,0.0,0.0,0.0,80.1352206125,0.002541912964778021,4.726500303423827e-06,0.0,0.0,0.0,0.0,80.14110947,0.0025182912863092495,7.941174146006393e-09,0.0,0.0,0.0,0.0,80.2710448325,0.0025174333713948727,0.0,0.0,0.0,0.0,0.0,81.61244474499999,0.0025174368602456526,2.8761653378748668e-11,0.0,0.0,0.0,0.0
8,77.71670575,0.002536016672383994,1.9940391778538905e-06,0.0,0.0,0.0,0.0,77.71986745,0.0025417875868733973,4.57106430753084e-06,0.0,0.0,0.0,0.0,77.72612854249999,0.0025182755682617427,4.996188303728837e-09,0.0,0.0,0.0,0.0,77.8632705725,0.0025174333713948727,0.0,0.0,0.0,0.0,0.0,79.22158825,0.0025174366772407666,9.286929691441505e-11,0.0,0.0,0.0,0.0
9,75.3539027725,0.00253596708108671,1.9096845508211855e-06,0.0,0.0,0.0,0.0,75.3569516325,0.002541740131797269,4.485270949970906e-06,0.0,0.0,0.0,0.0,75.3635880625,0.0025182645621243866,4.331238461500164e-09,0.0,0.0,0.0,0.0,75.5085480675,0.0025174333713948727,0.0,0.0,0.0,0.0,0.0,76.88945822,0.002517436631023884,0.0,0.0,0.0,0.0,0.0
10,73.04283803999999,0.002535979472566396,1.882846841471498e-06,0.0,0.0,0.0,0.0,73.04578732750001,0.002541725657065399,4.401872113411529e-06,0.0,0.0,0.0,0.0,73.05279795749999,0.0025182555589126424,3.3096809065733156e-09,0.0,0.0,0.0,0.0,73.20600734,0.0025174333713948727,0.0,0.0,0.0,0.0,0.0,74.61469,0.0025174365773564206,9.805729658806909e-11,0.0,0.0,0.0,0.0
11,70.7828304775,0.0025360577454557644,1.947377666222057e-06,0.0,0.0,0.0,0.0,70.7856905825,0.002541703133843839,4.319389514442489e-06,0.0,0.0,0.0,0.0,70.7930722525,0.0025182509463047608,1.588908264170612e-09,0.0,0.0,0.0,0.0,70.9548101375,0.0025174333713948727,0.0,0.0,0.0,0.0,0.0,72.3959655,0.002517436400055885,2.0741538564972666e-11,0.0,0.0,0.0,0.0
12,68.57320177,0.002536176682333462,2.0246609097959575e-06,0.0,0.0,0.0,0.0,68.57598011,0.002541683357441798,4.323755049538541e-06,0.0,0.0,0.0,0.0,68.5837283925,0.0025182534817140547,3.9451130344426745e-09,0.0,0.0,0.0,0.0,68.75415387,0.0025174333713948727,0.0,0.0,0.0,0.0,0.0,70.23200575,0.00251743639819324,0.0,0.0,0.0,0.0,0.0
13,66.4132753825,0.0025363169352058323,2.0872570972168265e-06,0.0,0.0,0.0,0.0,66.41597681,0.0025416780851082875,4.39584663800791e-06,0.0,0.0,0.0,0.0,66.4240866975,0.0025182645737659186,9.817921434525245e-09,0.0,0.0,0.0,0.0,66.60325843,0.0025174333713948727,0.0,0.0,0.0,0.0,0.0,68.12157075,0.002517436291673221,1.1599400910118679e-10,0.0,0.0,0.0,0.0
14,64.30238012,0.002536456760135479,2.1791755823655663e-06,0.0,0.0,0.0,0.0,64.305004975,0.0025416790465824304,4.483679583286946e-06,0.0,0.0,0.0,0.0,64.31347028,0.002518285089172423,1.6502235483189372e-08,0.0,0.0,0.0,0.0,64.50137026499999,0.0025174333713948727,0.0,0.0,0.0,0.0,0.0,66.0634575,0.0025174361653625965,0.0,0.0,0.0,0.0,0.0
15,62.23984411,0.0025365668101003393,2.261938622260329e-06,0.0,0.0,0.0,0.0,62.242391445,0.0025416820971295236,4.575740761848053e-06,0.0,0.0,0.0,0.0,62.251205885,0.002518316472414881,2.2473633273428445e-08,0.0,0.0,0.0,0.0,62.4477538525,0.0025174333712784575,5.2049497389486455e-12,0.0,0.0,0.0,0.0,64.05649825,0.0025174361653625965,0.0,0.0,0.0,0.0,0.0
16,60.224998185000004,0.0025366115773795173,2.3315313623705965e-06,0.0,0.0,0.0,0.0,60.227465785,0.0025416703931987286,4.614838791045915e-06,0.0,0.0,0.0,0.0,60.2366227775,0.0025183599840383976,3.302679131095173e-08,0.0,0.0,0.0,0.0,60.441691425,0.0025174333609174937,4.826675271994406e-11,0.0,0.0,0.0,0.0,62.0995625,0.0025174360409146177,1.1613786451575021e-10,0.0,0.0,0.0,0.0
17,58.257175034999996,0.002536591693526134,2.3678505133627306e-06,0.0,0.0,0.0,0.0,58.259560855000004,0.002541630357853137,4.584956879268277e-06,0.0,0.0,0.0,0.0,58.2690538275,0.0025184145976090803,4.787055256167581e-08,0.0,0.0,0.0,0.0,58.482478145,0.002517433312954381,1.0095269293711345e-10,0.0,0.0,0.0,0.0,60.1915495,0.002517435932531953,0.0,0.0,0.0,0.0,0.0
