level,-kappa-0.01_pressure_bar,-kappa-0.01_rms_vel1,-kappa-0.01_rms_vel1_temporal_std,-kappa-0.1_pressure_bar,-kappa-0.1_rms_vel1,-kappa-0.1_rms_vel1_temporal_std,-kappa-1.0_pressure_bar,-kappa-1.0_rms_vel1,-kappa-1.0_rms_vel1_temporal_std
0,98.62821193,0.010269363129180309,0.004166765500420196,98.63060514,0.002712761252328009,0.0007539596663655965,98.65481457499999,0.0027249598620079606,0.0008816483966015711
1,95.82360782500001,0.029502907970105675,0.00970966939757539,95.826080215,0.01063172181289312,0.0038088286922528572,95.85010041999999,0.007506237153546951,0.0024350032189365428
2,93.079409505,0.052440077938473745,0.012585238297606044,93.08220868000001,0.026256064356839404,0.010961921544268826,93.10753248,0.010366802221520565,0.0033981795098006968
3,90.39207893999999,0.07988467374939039,0.01685190225910567,90.395211205,0.044899953397417,0.01947604618463402,90.423393795,0.011471868549559436,0.00379222148785187
4,87.76059313500001,0.10759470423439986,0.02176571661250954,87.76397483999999,0.062334777586597306,0.027533699527187577,87.79590856,0.011650370044914963,0.003837942815994359
5,85.184201125,0.13369899686389808,0.026427075953293588,85.18782038,0.07813913963500142,0.03480458306304186,85.22400197,0.011319530520781705,0.0036273319145287406
6,82.66223722,0.15805092320231967,0.030677271122220365,82.66609669,0.0928929007833646,0.04146243181250358,82.7067968675,0.010736699331155834,0.003251844171066269
7,80.194019885,0.18082000381618185,0.0346848413745035,80.198122255,0.10695935808848159,0.04769527039481286,80.24346401,0.01012222960227111,0.0028563849733337383
8,77.77886268249999,0.2020413615406049,0.03851045286543625,77.7832091325,0.12044097497703177,0.05361444425257558,77.8332048575,0.009663724165746845,0.0025835228848703853
9,75.416079635,0.22161590159124975,0.042199421140631854,75.42066979,0.13343256603488848,0.05932168334417527,75.4752616,0.009493375898320212,0.002491414718269643
10,73.1049888275,0.23937707217124338,0.04579125042835176,73.109818875,0.1459582236249532,0.06485005344222626,73.168915745,0.009667665157963261,0.002545356392626977
11,70.8449109875,0.2552711657359075,0.04910600108458497,70.84997355,0.15795724884197257,0.07014524716458781,70.9134727,0.010168762632121171,0.0027213351027376275
12,68.63516961,0.26946349651519447,0.05199283844322745,68.6404547625,0.16933463011181635,0.07512210089617397,68.7082485475,0.010930249519665302,0.0030134946597116913
13,66.47508961,0.28235132225205517,0.054474005534850385,66.4805857475,0.18005626729494997,0.07972314573596767,66.55256451999999,0.011867987206058328,0.0033786925720758225
14,64.3639996925,0.29429486729562315,0.0567049511246772,64.3696925375,0.19012320096399016,0.08391232545273904,64.4457478275,0.01289694037221899,0.0037587156779354757
15,62.3012298725,0.3055018002624063,0.058776181245024976,62.307104322499995,0.19950134964576444,0.08766306834729133,62.387131804999996,0.013938003048005916,0.00412065494229682
16,60.286111854999994,0.3161805566275305,0.06082496658931524,60.292153645,0.20822038462046202,0.09101156551822531,60.376055735,0.0149259327600432,0.004450787888558481
17,58.31798158750001,0.32652194349382235,0.06296556359391929,58.324174557499994,0.216460203801602,0.0940830327961818,58.4118619675,0.01581627721270435,0.004741657648479174
18,56.396176062500004,0.3365891038806929,0.06515128688280156,56.40250539,0.22439010190834416,0.0970274331965665,56.4938934,0.01658162311504042,0.004986458045933982
19,54.5200353725,0.3464239602389359,0.06732287696290201,54.526487180000004,0.2320779013704447,0.09989696131615293,54.621491137499994,0.017201919532382464,0.0051742925921225945
20,52.688902535,0.35618228054513695,0.06950606387930257,52.69546403,0.23958023365130132,0.10269445004695378,52.793994115000004,0.017658720400441634,0.005290706958805718
21,50.902123815,0.3659376400695531,0.07173211464018701,50.908783105,0.24696195030100054,0.1054424938626146,51.010744065,0.017937677722136613,0.005323591701371601
22,49.1590490225,0.3756135459933585,0.07399300089724353,49.165794565000006,0.2542871486035695,0.1081915068700861,49.2710899675,0.018033912229184317,0.005269128737367921
23,47.4590306775,0.38512831511684464,0.07633588136475201,47.4658516075,0.26155406094656336,0.1109554554402907,47.57439020499999,0.017978550266898922,0.005127182095494864
24,45.8014242575,0.39445077507264265,0.07877319147588978,45.80831009,0.2687449276435584,0.11370274259977138,45.92000747,0.017848330745356234,0.0048945753110862834
25,44.1855885875,0.4035678426280397,0.08129959087192626,44.192529365,0.2758914904545779,0.11641864204274517,44.30730071999999,0.01766774762811117,0.004586422230409316
26,42.6108861725,0.41247585324563785,0.08401441668486599,42.61787187,0.2829595318469365,0.11909038433223923,42.7356221925,0.017315723143621776,0.004263897583745788
27,41.0766815175,0.42114918468909207,0.08697122882905287,41.0837035475,0.28986178985788874,0.1216755261127974,41.2043228675,0.016648978403891096,0.003959429351073603
28,39.582343512499996,0.4294539155706399,0.09007968394836004,39.58939329375,0.2965840305723686,0.12413625853472557,39.71276020875,0.015655505382449177,0.003675524423924964
29,38.1272438725,0.43728657564126255,0.09328900473365148,38.13431345125,0.30317818561514753,0.12650062005477686,38.2603016175,0.014480241183511895,0.0034118940691032227
30,36.7107588125,0.44467604118609666,0.09662020447291385,36.7178394125,0.3096351044664837,0.1287614045885005,36.846324495,0.013315924487101139,0.0031772564209714064
31,35.3322668175,0.4516269498252823,0.10001836076564874,35.339350165,0.31582481157294257,0.13078539380480947,35.47021447375,0.012325948341281428,0.0029465157223578582
32,33.991150435,0.4580720256871061,0.10341104232988005,33.9982275475,0.3217003380199852,0.13256765206605595,34.131363165,0.011639935268960766,0.002671633993822103
33,32.68679468875,0.4638609601366614,0.10671864681178855,32.69385723125,0.32722616880576855,0.13417752894168147,32.82916592125,0.011346455375393905,0.0024394837081042025
34,31.41858877875,0.46873451144790507,0.10986839238759925,31.425627969999997,0.3322514090580022,0.13553697921740182,31.563020095000002,0.011463973224649898,0.002395632078749855
35,30.185924545,0.4724474750559122,0.11279311510537897,30.192932287499996,0.33669711673735303,0.13658741189509396,30.332324865,0.011934109829870846,0.0026050185563781655
36,28.988197491250002,0.47474911002107995,0.11529331184115185,28.99516631625,0.3405103605303494,0.1372864077046363,29.136481878749997,0.012662669629034302,0.003068384571253304
37,27.82480638625,0.4753944169330746,0.11719292111636248,27.83172909375,0.3435521470536411,0.1375363563617168,27.9748932225,0.01358026265046657,0.0036888521166879578
38,26.6951538025,0.4743719385699789,0.11854763288858168,26.70202405,0.3456236551404022,0.1372005897026763,26.84696032125,0.014657415773747942,0.004290078350988042
39,25.59864628625,0.4717422425713425,0.119414841251773,25.605457370000003,0.3466223406987798,0.13626868067485035,25.752082672500002,0.01586941185946005,0.004724737892012235
40,24.534693285,0.4674950243128979,0.11972364718155275,24.54143929375,0.3466012638427997,0.13489161362412522,24.689658465,0.01713844541649461,0.004989640165562811
41,23.50270830125,0.46160242330551454,0.11940481579128807,23.50938333625,0.3455835862983436,0.1331004532728565,23.65908718625,0.018323054237596854,0.005120979960422688
42,22.502108215,0.4541207118867209,0.1184889901170794,22.508706779999997,0.3434922668701621,0.13084420127327284,22.65977166,0.01925799547053281,0.005125219890349389
43,21.532312835,0.4450976646714287,0.1171167251764005,21.538830625,0.3401598671089966,0.1280609931514489,21.69111691875,0.019824259732146736,0.005036198733100929
44,20.59274642375,0.4344516344580741,0.11535027383188254,20.599179003125002,0.3355217711870466,0.12476889187855718,20.752529336875,0.019985447909161985,0.004894786784983501
45,19.682837071875,0.4220781754411851,0.11311490846517526,19.6891796825,0.3295059650566782,0.12092747297342435,19.84341835875,0.019775703761095036,0.004719746811046283
46,18.802015493125,0.4079283772157632,0.1103816410390541,18.808264445625,0.3221001407313044,0.11654596333564084,18.963200895625,0.019298574272432107,0.004521736632412692
47,17.94971718375,0.39192419182038873,0.1071578807298405,17.95586832,0.31336641640298296,0.11172330157318554,18.11130292125,0.018705687925294014,0.004312953529026488
48,17.125381216875,0.37402209555688903,0.1034384668142978,17.13143072125,0.3033007010963923,0.10656837219283645,17.287156855,0.01816307519820763,0.004103881195018006
49,16.328449789375,0.35423579838258007,0.09916143599888631,16.3343939125,0.2918502868614722,0.10115347333254644,16.490197265000003,0.01781568554031337,0.00390677661163329
50,15.558369201249999,0.33257290232407744,0.09433582938683108,15.564204281250001,0.2788958368258371,0.09549333768157264,15.719860824374999,0.017757316894557038,0.00371254498115746
51,14.81459032125,0.3090864625419509,0.08894367956276411,14.820312288750001,0.26426197432987514,0.08954741953871792,14.975590393125,0.018034760380869003,0.0035309917739866537
52,14.096566244375,0.2836040493642657,0.08281559656774878,14.102171844375,0.24776500246074412,0.08324109620966147,14.25683763125,0.018659703171346534,0.003416916680544805
53,13.40375519375,0.25590262220781196,0.0757819748517031,13.409240750625,0.2292679341379735,0.07651799142879012,13.5630615,0.01963621025791453,0.0034223454567201563
54,12.735619274375,0.226156824024756,0.06788747718944951,12.74098128875,0.20872692123534878,0.06932319546480387,12.893726756875001,0.020953908361527208,0.0036046278125064857
55,12.09162576,0.1945578947896056,0.05918601829098539,12.09685973,0.18617595236204648,0.061574486113549376,12.248305748125,0.02257678661275175,0.004035196428297788
56,11.471245484374998,0.16126917855875564,0.04969228219539417,11.4763469,0.1617531450009973,0.05320939612023101,11.62627908875,0.024480311426921725,0.004741413213784169
57,10.87395640625,0.12673444175995874,0.03938562106438994,10.878917626249999,0.13561593049233628,0.04412948884695943,11.027129435625,0.026673820232493768,0.005670347937804101
58,10.2992422690625,0.09195102199657879,0.02847180254040358,10.30405078125,0.1079327073582527,0.034191595093892434,10.450328611875,0.029137511849899583,0.006794855309472748
59,9.746602305,0.059040128527912614,0.017552509400637566,9.7512303228125,0.07974781627771801,0.023527207275280917,9.8953370359375,0.032050633809892995,0.008220203640704875
60,9.215578118437499,0.03257785557523792,0.009731406543993546,9.219972238125,0.054738077328807304,0.013784102562965478,9.3616505996875,0.035660672781336195,0.009967916301800153
61,8.705914209374999,0.017778662491131962,0.006886604408016096,8.709961271875,0.037042018370296324,0.008196456490060853,8.8489135821875,0.03835987543671132,0.011392312814678784
62,8.2177330121875,0.011082112374892785,0.003559420387200516,8.2212895415625,0.021429205969413407,0.00437763852413973,8.3570539646875,0.033453711710955326,0.010290080114161496
63,7.75118928875,0.010832649581742567,0.003745768171308047,7.7542780753125,0.018718095631108028,0.006472725966291748,7.8863300940625,0.017667747093591875,0.005395431077287708
64,7.3056888190625004,0.014695520770762381,0.004476045944369956,7.308638896874999,0.026011472406307395,0.006911835973531668,7.4370587796875,0.02291566955095389,0.007115470561542069
65,6.879932985625,0.02071879357266068,0.005291772276375324,6.8832180078125,0.03093279265830295,0.007109898517345271,7.0088714953125,0.030860591889234134,0.012310299574358266
66,6.4727658209375,0.030167962193236687,0.009787968747092332,6.4767671390625,0.040483193828543415,0.009373500259248126,6.60049413375,0.03459525673028143,0.011982570452113159
67,6.0836607559375,0.03612322131017036,0.01298422243117786,6.08847152125,0.04653672629674594,0.012942942642362194,6.210656986875,0.043528799324892,0.012704385724739075
68,5.7123342646875,0.03564262787664502,0.014580970467968555,5.717775748125001,0.05011023683816221,0.012182896007909344,5.838552066875,0.04855195036942271,0.014053721213456575
