level,-kappa-0.01_pressure_bar,-kappa-0.01_theta_mean,-kappa-0.01_theta_std,-kappa-0.1_pressure_bar,-kappa-0.1_theta_mean,-kappa-0.1_theta_std,-kappa-1.0_pressure_bar,-kappa-1.0_theta_mean,-kappa-1.0_theta_std,-kappa-10.0_pressure_bar,-kappa-10.0_theta_mean,-kappa-10.0_theta_std,-kappa-100.0_pressure_bar,-kappa-100.0_theta_mean,-kappa-100.0_theta_std
0,98.62821193,162.01278134155274,0.0026745274469024086,98.63060514,162.01164557647706,0.0007169458067847077,98.65481457499999,162.00015578460693,0.0007631397151948216,99.23616698999999,161.72761007690428,0.00076275728477023,103.19004242000001,159.93195733642577,0.0018527622601226088
1,95.82360782500001,162.36013823699952,0.03290986051454782,95.826080215,162.40867303466797,0.016654135342959082,95.85010041999999,162.40294591522218,0.00887611757239134,96.415373,162.18327394104003,0.0001760373098277022,100.26358197,161.13107958984375,0.0013310269229033487
2,93.079409505,162.39789005279542,0.00723264331240652,93.08220868000001,162.4627848815918,0.006011374800136657,93.10753248,162.5646591720581,0.005385056574537782,93.6598465,162.62131209564208,0.00042353921421427773,97.417978495,162.33634256744384,0.0007912992095281955
3,90.39207893999999,162.40110194396973,0.004417159639430855,90.395211205,162.45959213256836,0.003844048916695066,90.423393795,162.6374167480469,0.002967425731136897,90.96808149499999,163.04223431396485,0.0010368295604586016,94.6509915,163.5477740249634,0.0002249607456702504
4,87.76059313500001,162.39440574645997,0.003781802057297349,87.76397483999999,162.45236330413817,0.002547561691604422,87.79590856,162.68063091278077,0.002084920240879986,88.338627175,163.446589302063,0.0016612401290535253,91.9604525,164.76541283416748,0.00036026979430700323
5,85.184201125,162.39075986480714,0.0030417098920755186,85.18782038,162.44925911712647,0.0019771618441948736,85.22400197,162.71268824768066,0.0016791942636711266,85.7700865,163.83495429992675,0.002295177870280458,89.3442465,165.9892951965332,0.0009665991238925378
6,82.66223722,162.38740907287598,0.002743607708535138,82.66609669,162.44723221588134,0.0017911607771467562,82.7067968675,162.73702463531495,0.0014234133825517243,83.261115,164.20794313812254,0.0029407397103975827,86.800319,167.21947708129883,0.0015905798240848047
7,80.194019885,162.38513260650635,0.002558475654992008,80.198122255,162.44556876373292,0.0017302773321979383,80.24346401,162.75439278411866,0.0013390024631023663,80.810415,164.5661900100708,0.0035915522712406814,84.3266765,168.45599594116212,0.002237311458327639
8,77.77886268249999,162.38287886810303,0.002512367999169732,77.7832091325,162.44400388336183,0.0017755100737880522,77.8332048575,162.76651808166503,0.0014085764283506572,78.41673813,164.91035289001465,0.004247943483141299,81.92138561499999,169.69891052246095,0.002907007965849643
9,75.416079635,162.3809098587036,0.002415577895080558,75.42066979,162.44261474609374,0.00192355849947208,75.4752616,162.7758994445801,0.0014941103068872306,76.07887681,165.2411138381958,0.004909800745539405,79.58256225,170.94827117919922,0.003595943027990847
10,73.1049888275,162.37912208557128,0.002274461962683588,73.109818875,162.44132982635497,0.0020059109402915734,73.168915745,162.7844516143799,0.0015422051356242326,73.79566928,165.55916619110107,0.005575043848112916,77.3083775,172.20414810180665,0.0043063846255788525
11,70.8449109875,162.3776919403076,0.002073215518531476,70.84997355,162.44015625762938,0.0019357443190435558,70.9134727,162.79298834228516,0.0015782746365630206,71.565991075,165.8652222290039,0.006241531416069729,75.0970555,173.4666100845337,0.005039186965384548
12,68.63516961,162.37650620269775,0.0018301293698847773,68.6404547625,162.4391390991211,0.0018148233453808055,68.7082485475,162.8016909790039,0.0016298539380258065,69.388756805,166.15999588775634,0.006909307841095609,72.9468705,174.73571853637696,0.005793558407992478
13,66.47508961,162.3755713119507,0.001623483784497436,66.4805857475,162.4382204284668,0.0017165788573381237,66.55256451999999,162.81068576812743,0.001699038035121836,67.26291825,166.44421803283691,0.007578240888225021,70.85614525,176.0115608215332,0.00656771016457274
