level,-nu-0.01_pressure_bar,-nu-0.01_H2O_mean,-nu-0.01_H2O_std,-nu-0.01_H2O_l__mean,-nu-0.01_H2O_l__std,-nu-0.01_H2O_l_p__mean,-nu-0.01_H2O_l_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2O_mean,-nu-0.1_H2O_std,-nu-0.1_H2O_l__mean,-nu-0.1_H2O_l__std,-nu-0.1_H2O_l_p__mean,-nu-0.1_H2O_l_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2O_mean,-nu-1.0_H2O_std,-nu-1.0_H2O_l__mean,-nu-1.0_H2O_l__std,-nu-1.0_H2O_l_p__mean,-nu-1.0_H2O_l_p__std
0,98.62439433864999,0.024960893580745904,1.6704561477662548e-06,0.0,0.0,0.0,0.0,98.62449995695,0.024961117138881238,1.9274125120824515e-06,0.0,0.0,0.0,0.0,98.6244772742,0.024961014211783185,1.5443796484821016e-06,0.0,0.0,0.0,0.0
1,95.8184104972,0.02493358866936527,8.96077671972574e-05,0.0,0.0,0.0,0.0,95.81851741295,0.02496122542546131,8.967143388271513e-05,0.0,0.0,0.0,0.0,95.81863475915,0.024959739228254185,7.550705366243946e-05,0.0,0.0,0.0,0.0
2,93.07152128359999,0.02491996253452264,0.00010895730138452726,0.0,0.0,0.0,0.0,93.07163114724999,0.02495327067030594,0.00010827720467861707,0.0,0.0,0.0,0.0,93.0720898466,0.02495137905425392,9.329129002669298e-05,0.0,0.0,0.0,0.0
3,90.38122736940001,0.024913242151197047,0.00011601855258064452,0.0,0.0,0.0,0.0,90.3813312883,0.02494809388851747,0.00011495676744430284,0.0,0.0,0.0,0.0,90.38217442445,0.0249456651139725,0.00010041434887433572,0.0,0.0,0.0,0.0
4,87.74684891310001,0.024908608982721344,0.0001202174315062983,0.0,0.0,0.0,0.0,87.7469379071,0.02494408174547367,0.00011907995910845579,0.0,0.0,0.0,0.0,87.74814252315,0.024941235248418524,0.00010485203764160463,0.0,0.0,0.0,0.0
5,85.16770108610001,0.02490494921146892,0.00012303465970661405,0.0,0.0,0.0,0.0,85.16777065115,0.024940672950418664,0.00012190667196566721,0.0,0.0,0.0,0.0,85.16932557815001,0.024937393236868083,0.00010794862303114121,0.0,0.0,0.0,0.0
6,82.643128175275,0.024901796756787227,0.0001253139366401647,0.0,0.0,0.0,0.0,82.643176117775,0.02493763744758442,0.00012418820375603425,0.0,0.0,0.0,0.0,82.645068669525,0.024933934806762263,0.00011037395747675604,0.0,0.0,0.0,0.0
7,80.1724389748,0.024899005279280247,0.00012720817509214043,0.0,0.0,0.0,0.0,80.172464207425,0.024934890848947688,0.0001260336262515071,0.0,0.0,0.0,0.0,80.1746844651,0.02493073644191958,0.00011234962486330654,0.0,0.0,0.0,0.0
8,77.754947894875,0.02489646660134196,0.00012888260280767783,0.0,0.0,0.0,0.0,77.754950247575,0.02493237439448014,0.00012757092109364683,0.0,0.0,0.0,0.0,77.75748728387501,0.024927679133368658,0.00011411605312192659,0.0,0.0,0.0,0.0
9,75.389964978,0.024894126718090846,0.0001303773323875485,0.0,0.0,0.0,0.0,75.3899448823,0.02493005569091998,0.0001288446291037506,0.0,0.0,0.0,0.0,75.3927883323,0.02492467189264484,0.00011578683647466771,0.0,0.0,0.0,0.0
10,73.0768042405,0.024891939723817633,0.00013174170613098303,0.0,0.0,0.0,0.0,73.07676254715,0.024927902597263456,0.000129924362055876,0.0,0.0,0.0,0.0,73.07990155602499,0.02492166811833158,0.00011744221619032078,0.0,0.0,0.0,0.0
11,70.81478045505,0.024889875164162367,0.00013298625291837443,0.0,0.0,0.0,0.0,70.81471838435,0.02492588074536994,0.00013086087954117633,0.0,0.0,0.0,0.0,70.818141993725,0.024918669052673505,0.0001191136358296875,0.0,0.0,0.0,0.0
12,68.60321145902499,0.02488791399956681,0.00013412323650912705,0.0,0.0,0.0,0.0,68.60313030975,0.024923951600445436,0.00013170080251456406,0.0,0.0,0.0,0.0,68.6068275372,0.02491570825249888,0.0001207953052572651,0.0,0.0,0.0,0.0
13,66.4414173348,0.024886046872418372,0.00013516319343804991,0.0,0.0,0.0,0.0,66.4413184111,0.024922082250174137,0.00013247614711097937,0.0,0.0,0.0,0.0,66.445278052825,0.02491282138148323,0.00012245282031144128,0.0,0.0,0.0,0.0
14,64.32872112507499,0.024884263732451947,0.00013611935305142466,0.0,0.0,0.0,0.0,64.32860583897501,0.02492025636397302,0.0001332113573777343,0.0,0.0,0.0,0.0,64.332816577425,0.024910019620684908,0.0001240625433502772,0.0,0.0,0.0,0.0
15,62.26444838065,0.024882553543765097,0.00013700460217517242,0.0,0.0,0.0,0.0,62.264318240225,0.024918474737145008,0.00013391426452338337,0.0,0.0,0.0,0.0,62.268768621475,0.02490729108045809,0.00012562401248819092,0.0,0.0,0.0,0.0
16,60.247927947475,0.024880905433092265,0.0001378313106671892,0.0,0.0,0.0,0.0,60.24778435075,0.024916742813205345,0.00013458496005223407,0.0,0.0,0.0,0.0,60.25246282455,0.02490462962503545,0.00012714304191206727,0.0,0.0,0.0,0.0
17,58.27849138225,0.024879310533301904,0.00013861194832457882,0.0,0.0,0.0,0.0,58.278335688,0.0249150550499931,0.00013523395166512486,0.0,0.0,0.0,0.0,58.283230731924995,0.02490204986376688,0.0001286034109169858,0.0,0.0,0.0,0.0
18,56.355473398525,0.02487776122154668,0.0001393605670149028,0.0,0.0,0.0,0.0,56.355306935575,0.024913396536353976,0.00013587781855330252,0.0,0.0,0.0,0.0,56.3604069302,0.02489957249291241,0.00012997149353155782,0.0,0.0,0.0,0.0
19,54.478211698225,0.02487625164790079,0.0001400888740844726,0.0,0.0,0.0,0.0,54.47803581025,0.02491175304448232,0.00013652771291592893,0.0,0.0,0.0,0.0,54.4833291481,0.024897206790698692,0.0001312332468909018,0.0,0.0,0.0,0.0
20,52.646047114725,0.02487477700131014,0.000140808233838188,0.0,0.0,0.0,0.0,52.645863143625,0.02491011532054283,0.0001371893820506995,0.0,0.0,0.0,0.0,52.6513382397,0.024894948713509366,0.0001324011942714539,0.0,0.0,0.0,0.0
21,50.858323625450005,0.024873331115888433,0.00014152576367709914,0.0,0.0,0.0,0.0,50.858132882700005,0.024908479702128096,0.00013786627101483964,0.0,0.0,0.0,0.0,50.863778139124996,0.024892787455450743,0.00013349620099396145,0.0,0.0,0.0,0.0
22,49.114388316275004,0.0248719053911604,0.00014224110485884327,0.0,0.0,0.0,0.0,49.114192103725,0.02490684554872103,0.00013856870356748047,0.0,0.0,0.0,0.0,49.119996072899994,0.024890710727721452,0.00013453150324244337,0.0,0.0,0.0,0.0
23,47.413591504450004,0.024870489728711545,0.00014295306667929568,0.0,0.0,0.0,0.0,47.413391034775,0.02490520956709981,0.00013930684519047258,0.0,0.0,1.4012984643248172e-50,4.431272672433088e-48,47.419342363775,0.02488870737281628,0.00013551227999619882,0.0,0.0,1.4012984643248172e-50,4.431272672433089e-48
24,45.75528672709999,0.024869076224099843,0.00014366459188672813,0.0,0.0,4.904544625136859e-50,8.29004843522462e-48,45.75508314875,0.024903568857144565,0.00014008430758335214,0.0,0.0,3.0127916982983566e-49,5.870343127535928e-47,45.761170628725004,0.02488676716759801,0.00013644345862557267,0.0,0.0,2.3822073893521892e-49,5.552345402698316e-47
25,44.1388306498,0.024867659451719374,0.0001443839579270411,0.0,0.0,1.723597111119525e-48,9.96646094998678e-47,44.138625167425,0.024901923641860484,0.00014089517455581762,0.0,0.0,5.373979610685673e-48,6.82376661583876e-46,44.144837749749996,0.024884878186797722,0.00013732674223653323,0.0,0.0,4.210901885296075e-48,6.515751113609631e-46
26,42.563583308575005,0.02486623412963003,0.00014512184850856482,0.0,0.0,3.5109533023658293e-47,1.2653401161652577e-45,42.56337693375,0.024900273850373925,0.00014172338826791758,0.0,0.0,7.995108388205244e-47,7.831742877103898e-45,42.569703897675,0.024883028408046813,0.0001381610418939431,0.0,0.0,6.297435298675728e-47,7.557809493476956e-45
27,41.028907850687496,0.024864793190807106,0.00014588734738959705,0.0,0.0,6.541961880700408e-46,1.5972242526293058e-44,41.0287017386125,0.024898617771109566,0.00014255838431242993,0.0,0.0,1.1523227596759052e-45,8.940729099844945e-44,41.035132393375,0.02488120442330837,0.00013895335483977145,0.0,0.0,9.131281183079806e-46,8.735202301941615e-44
28,39.5341709186375,0.02486332903103903,0.0001466892856034804,0.0,0.0,9.250966084917788e-45,2.0095674063897403e-43,39.5339660173,0.024896950498828663,0.00014339660998944595,0.0,0.0,1.4873402919820574e-44,1.0165236553939539e-42,39.5404899834125,0.024879393338272347,0.00013972128628617414,0.0,0.0,1.18113555805012e-44,1.0053325199927062e-42
