level,-nu-0.01_pressure_bar,-nu-0.01_H2S_mean,-nu-0.01_H2S_std,-nu-0.01_NH4SH_s__mean,-nu-0.01_NH4SH_s__std,-nu-0.01_NH4SH_s_p__mean,-nu-0.01_NH4SH_s_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2S_mean,-nu-0.1_H2S_std,-nu-0.1_NH4SH_s__mean,-nu-0.1_NH4SH_s__std,-nu-0.1_NH4SH_s_p__mean,-nu-0.1_NH4SH_s_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2S_mean,-nu-1.0_H2S_std,-nu-1.0_NH4SH_s__mean,-nu-1.0_NH4SH_s__std,-nu-1.0_NH4SH_s_p__mean,-nu-1.0_NH4SH_s_p__std
0,98.62439433864999,0.00015772325775302308,1.0511612016924596e-06,0.0,0.0,1.3408442671024601e-39,2.48475954334175e-38,98.62449995695,0.00015768310785970244,9.453391398757346e-07,0.0,0.0,1.7798050571263624e-39,1.4030426163187614e-37,98.6244772742,0.00015765735410015622,1.0430891354616223e-06,0.0,0.0,1.909701855725143e-39,7.634004834103211e-38
1,95.8184104972,0.00021518361349371845,1.82947014527391e-05,0.0,0.0,1.1307121382002996e-38,2.093240697907328e-37,95.81851741295,0.0002125621204359777,1.6988389629862388e-05,0.0,0.0,1.492277956509396e-38,1.1650559368692212e-36,95.81863475915,0.00022905771152414672,2.1313258066448857e-05,0.0,0.0,1.6103686730783267e-38,6.414005116662754e-37
2,93.07152128359999,0.00023080444307131985,1.7201966614971056e-05,0.0,0.0,1.0459014935786182e-37,1.9209009782651172e-36,93.07163114724999,0.00022750011283183995,1.5406889101787935e-05,0.0,0.0,1.3697742587113563e-37,1.0530382844539384e-35,93.0720898466,0.0002526708053309994,2.0252935536060237e-05,0.0,0.0,1.4882572438674156e-37,5.836751369275421e-36
3,90.38122736940001,0.0002367858168698149,1.7032280722934938e-05,0.0,0.0,9.507078336711779e-37,1.7228196416120933e-35,90.3813312883,0.00023322809963596228,1.5013660858327404e-05,0.0,0.0,1.2321661809748088e-36,9.274534215883203e-35,90.38217442445,0.0002622834811940993,2.043274641057518e-05,0.0,0.0,1.3507581961460681e-36,5.16750283458995e-35
4,87.74684891310001,0.00024011349474800227,1.7311601626654156e-05,0.0,0.0,8.492849289411665e-36,1.5100048861560394e-34,87.7469379071,0.00023645726413480588,1.519107472028387e-05,0.0,0.0,1.0863492028991944e-35,7.957499051582549e-34,87.74814252315,0.00026782824178917506,2.1193665819742123e-05,0.0,0.0,1.2045205215022914e-35,4.452380830357595e-34
5,85.16770108610001,0.0002423648158879223,1.7743629343756402e-05,0.0,0.0,7.453530336742013e-35,1.2928809525376727e-33,85.16777065115,0.0002386774284812418,1.556573368932555e-05,0.0,0.0,9.385050841598591e-35,6.646026134329169e-33,85.16932557815001,0.000271719220570958,2.2088013090439766e-05,0.0,0.0,1.055186670722861e-34,3.733873876270331e-33
6,82.643128175275,0.000244066748838668,1.8241062518558747e-05,0.0,0.0,6.4236985983112865e-34,1.0809159964661486e-32,82.643176117775,0.0002403798943934089,1.6012092470282318e-05,0.0,0.0,7.942579712685751e-34,5.39892380089959e-32,82.645068669525,0.0002747454468793148,2.297743055744703e-05,0.0,0.0,9.078063653454238e-34,3.047759568382629e-32
7,80.1724389748,0.0002454428443311917,1.8759916619507646e-05,0.0,0.0,5.433699136362613e-33,8.819286833058865e-32,80.172464207425,0.00024177378913911525,1.6480996665031553e-05,0.0,0.0,6.583210606677321e-33,4.2620649022700115e-31,80.1746844651,0.00027726455542891927,2.386104277061779e-05,0.0,0.0,7.667082049760259e-33,2.420860444600354e-31
8,77.754947894875,0.00024660377701729883,1.9280444309270997e-05,0.0,0.0,4.508742578603753e-32,7.0180012733521495e-31,77.754950247575,0.00024296012537968636,1.694846833306419e-05,0.0,0.0,5.342986020055646e-32,3.266957270747342e-30,77.75748728387501,0.00027946653213621175,2.477311729518147e-05,0.0,0.0,6.353995407066534e-32,1.8708417494083727e-30
9,75.389964978,0.0002476133661680797,1.9791549659685183e-05,0.0,0.0,3.667836593832611e-31,5.4431800018396494e-30,75.3899448823,0.00024399807891924865,1.7403758194720968e-05,0.0,0.0,4.24545571651431e-31,2.4298793082414656e-29,75.3927883323,0.00028146748839550127,2.5742214959627557e-05,0.0,0.0,5.1644588258702255e-31,1.4064268393934814e-29
10,73.0768042405,0.00024851130649534753,2.0287890861988573e-05,0.0,0.0,2.9234159084439424e-30,4.112202201011374e-29,73.07676254715,0.0002449261016229138,1.7843174921554155e-05,0.0,0.0,3.30207078000671e-30,1.7525980968218334e-28,73.07990155602499,0.00028333655156086027,2.6780019091539738e-05,0.0,0.0,4.114480106747967e-30,1.0282683720278416e-28
11,70.81478045505,0.00024932403275262915,2.0765946976254393e-05,0.0,0.0,2.2814119451455636e-29,3.024049455070215e-28,70.81471838435,0.00024577097040943046,1.826664137355558e-05,0.0,0.0,2.5135130582065058e-29,1.225088113442774e-27,70.818141993725,0.0002851107046166726,2.788365885791451e-05,0.0,0.0,3.210960053305558e-29,7.3090035548957225e-28
12,68.60321145902499,0.0002500699249989702,2.1225133507034923e-05,0.0,0.0,1.7419272883388602e-28,2.163209051860439e-27,68.60313030975,0.0002465529235964641,1.8677925677532725e-05,0.0,0.0,1.8719473428516315e-28,8.293561076042538e-27,68.6068275372,0.00028680434426220017,2.9031976236565687e-05,0.0,0.0,2.4528610671650837e-28,5.048988267391019e-27
13,66.4414173348,0.00025076240491849605,2.1666567485731203e-05,0.0,0.0,1.3002352527986916e-27,1.5041055245182722e-26,66.4413184111,0.0002472870590883394,1.908174280413529e-05,0.0,0.0,1.3635542403751277e-27,5.433149907298763e-26,66.445278052825,0.0002884246637274191,3.0196192325024498e-05,0.0,0.0,1.8326709622235227e-27,3.3882517171680595e-26
14,64.32872112507499,0.00025141161920306333,2.2091840258731513e-05,0.0,0.0,9.479898306118008e-27,1.0157428502950711e-25,64.32860583897501,0.00024798432240750117,1.9480891726429696e-05,0.0,0.0,9.710420139783245e-27,3.442066545135214e-25,64.332816577425,0.0002899786108785338,3.135117977096445e-05,0.0,0.0,1.3380823607610798e-26,2.2077756018368163e-25
15,62.26444838065,0.0002520256740547484,2.2502515834816572e-05,0.0,0.0,6.744811186254848e-26,6.656675218292689e-25,62.264318240225,0.0002486523961097555,1.9875172746203296e-05,0.0,0.0,6.757341025458396e-26,2.1081090454339597e-24,62.268768621475,0.0002914750904817629,3.248321944925068e-05,0.0,0.0,9.537579702506657e-26,1.3959366774372747e-24
16,60.247927947475,0.0002526118792905618,2.2901174801480907e-05,0.0,0.0,4.678241197191524e-25,4.2299504034118814e-24,60.24778435075,0.0002492969259189704,2.026280480135866e-05,0.0,0.0,4.592029739356325e-25,1.2478132950945843e-23,60.25246282455,0.0002929208971340995,3.3580039139976186e-05,0.0,0.0,6.629501168594982e-25,8.559205666102183e-24
17,58.27849138225,0.000253176529246266,2.329080195713959e-05,0.0,0.0,3.159857164655586e-24,2.6040668698505604e-23,58.278335688,0.00024992361702083144,2.0644701451995153e-05,0.0,0.0,3.044814482386312e-24,7.136025559323834e-23,58.283230731924995,0.00029431889406318076,3.4624320185702536e-05,0.0,0.0,4.488524422174805e-24,5.0870327695949095e-23
18,56.355473398525,0.00025372516832059775,2.367469199980072e-05,0.0,0.0,2.0759172902772717e-23,1.5518136460103859e-22,56.355306935575,0.0002505381475555623,2.1024484317847888e-05,0.0,0.0,1.967873714043046e-23,3.941105425381449e-22,56.3604069302,0.00029567174591233196,3.560321981013698e-05,0.0,0.0,2.956357104372998e-23,2.929585369946603e-22
19,54.478211698225,0.0002542622502543236,2.405554428804609e-05,0.0,0.0,1.3248107468722275e-22,8.943446856019013e-22,54.47803581025,0.00025114555025655135,2.1406140042705874e-05,0.0,0.0,1.2382015680235363e-22,2.1010570384169117e-21,54.4833291481,0.00029698602172116806,3.651728662680465e-05,0.0,0.0,1.8916531293258577e-22,1.6335596310546878e-21
20,52.646047114725,0.00025479129757433836,2.443528441436147e-05,0.0,0.0,8.201674578651542e-22,4.980104599606607e-21,52.645863143625,0.0002517499105265597,2.1792245181922464e-05,0.0,0.0,7.574416692374251e-22,1.0807747645524795e-20,52.6513382397,0.0002982704656635906,3.737450026261546e-05,0.0,0.0,1.1741201527440142e-21,8.808754893688473e-21
21,50.858323625450005,0.00025531577022295095,2.4815537068608294e-05,0.0,0.0,4.918379759147706e-21,2.6767065676272484e-20,50.858132882700005,0.0002523548746066808,2.218474823420018e-05,0.0,0.0,4.497834494624934e-21,5.362715059128637e-20,50.863778139124996,0.0002995339526578755,3.818379049636977e-05,0.0,0.0,7.058178070741957e-21,4.5879506118885514e-20
22,49.114388316275004,0.00025583924186750666,2.5197806239122664e-05,0.0,0.0,2.8526094834938326e-20,1.3872215619751393e-19,49.114192103725,0.00025296366873160875,2.2585211624993643e-05,0.0,0.0,2.5883289911868667e-20,2.5653939376391144e-19,49.119996072899994,0.0003007845395103504,3.8953119909274375e-05,0.0,0.0,4.1026884727442445e-20,2.3051688847103726e-19
23,47.413591504450004,0.000256365358320254,2.558424261307832e-05,0.0,0.0,1.5975599756147503e-19,6.924874926527922e-19,47.413391034775,0.00025357900460214297,2.299398591206365e-05,0.0,0.0,1.4408370809622395e-19,1.1826165032635623e-18,47.419342363775,0.0003020295038711629,3.968982762575529e-05,0.0,0.0,2.301939456874319e-19,1.1158700134133954e-18
24,45.75528672709999,0.0002568975268018403,2.5976881876262587e-05,0.0,0.0,8.624355445026869e-19,3.3261790844124297e-18,45.75508314875,0.00025420326386250963,2.3410714756175536e-05,0.0,0.0,7.744043518124451e-19,5.252109377470499e-18,45.761170628725004,0.0003032759506417642,4.040067348374074e-05,0.0,0.0,1.2444966890461306e-18,5.198088580751381e-18
25,44.1388306498,0.0002574389375120518,2.6377631191408864e-05,0.0,0.0,4.480022499702211e-18,1.5355938881741727e-17,44.138625167425,0.000254838699600441,2.3834668988582693e-05,0.0,0.0,4.010702383744755e-18,2.2466593646049794e-17,44.144837749749996,0.00030453103027597533,4.109231916248511e-05,0.0,0.0,6.470928830544028e-18,2.3278548374379186e-17
26,42.563583308575005,0.0002579927717688406,2.678867031391136e-05,0.0,0.0,2.2352233664256173e-17,6.806883398106067e-17,42.56337693375,0.00025548740030069894,2.4264872644509452e-05,0.0,0.0,1.9975080696666686e-17,9.255833218003713e-17,42.569703897675,0.00030580059550215085,4.176889651975696e-05,0.0,0.0,3.22987531543349e-17,1.0013920101348205e-16
27,41.028907850687496,0.00025856199645277227,2.7211914262393434e-05,0.0,0.0,1.0691250625498052e-16,2.8940284488683865e-16,41.0287017386125,0.0002561519903698354,2.470134194575557e-05,0.0,0.0,9.547057486881409e-17,3.6725174050232925e-16,41.035132393375,0.0003070909330160066,4.24356779348507e-05,0.0,0.0,1.5445479472465025e-16,4.1354058861161196e-16
28,39.5341709186375,0.00025914944176787686,2.7649054426643116e-05,0.0,0.0,4.892900763611962e-16,1.1789355037131482e-15,39.5339660173,0.00025683579200871465,2.51459361046442e-05,0.0,0.0,4.36969498235139e-16,1.4033956644473204e-15,39.5404899834125,0.0003084086264795769,4.309957390365261e-05,0.0,0.0,7.062326948435204e-16,1.6387883849290505e-15
29,38.078742319725,0.0002597582160298043,2.8103032833549795e-05,0.0,0.0,2.1384005178044992e-15,4.597180419419915e-15,38.07853958065,0.0002575427106756979,2.5602071290622114e-05,0.0,0.0,1.911253893084481e-15,5.164699508985025e-15,38.0851466502125,0.00030976088107432587,4.376904745948552e-05,0.0,0.0,3.0814215008540567e-15,6.23079478886984e-15
30,36.6619952296625,0.0002603916981544171,2.8577305562265548e-05,0.0,0.0,8.907326070694758e-15,1.714288855486165e-14,36.66179558685,0.0002582776548984111,2.607499364416812e-05,0.0,0.0,7.971881987456422e-15,1.8301512668119424e-14,36.6684757010375,0.0003111551515726751,4.445270758680611e-05,0.0,0.0,1.280368079779597e-14,2.2726545544796178e-14
31,35.2833061689375,0.00026105330164311453,2.907534183672233e-05,0.0,0.0,3.5293718773066616e-14,6.107233850133482e-14,35.2831105209625,0.000259046160242724,2.657092298106867e-05,0.0,0.0,3.1643231389892657e-14,6.242051397028401e-14,35.289853816275,0.0003125992004756699,4.5160450633816274e-05,0.0,0.0,5.056236333692798e-14,7.950007872403352e-14
32,33.9420550402375,0.0002617469484431058,2.9601515279835243e-05,0.0,0.0,1.3277302673431913e-13,2.0765974890789743e-13,33.9418641940875,0.000259854467049081,2.709657133365628e-05,0.0,0.0,1.1928943447422635e-13,2.0474228552354965e-13,33.9486609979625,0.0003141015343528852,4.590277976171614e-05,0.0,0.0,1.8939655723440075e-13,2.6657408297018254e-13
33,32.63762513885,0.00026247737348378,3.0161128333997575e-05,0.0,0.0,4.733472912503996e-13,6.732505257864545e-13,32.63743983015,0.00026070911266040637,2.765752042388752e-05,0.0,0.0,4.2626524458140264e-13,6.450650773532862e-13,32.644280709475,0.0003156716906024667,4.669002719336752e-05,0.0,0.0,6.716427283695562e-13,8.560502277534625e-13
34,31.369403124475,0.00026325043519442263,3.076048651747321e-05,0.0,0.0,1.5963901151455115e-12,2.079052084518713e-12,31.36922407015,0.0002616173031683138,2.8258645048032966e-05,0.0,0.0,1.4411636242130602e-12,1.9491463831101125e-12,31.3760997698125,0.00031732054163301655,4.753253482558934e-05,0.0,0.0,2.2507766672740486e-12,2.6290963349423172e-12
35,30.1367791845875,0.00026407361019540986,3.1407832344925133e-05,0.0,0.0,5.084722571911162e-12,6.108282258959871e-12,30.1366069445125,0.0002625882610724511,2.8905956452333206e-05,0.0,0.0,4.6020912340431974e-12,5.638017039165089e-12,30.143508424399997,0.0003190611645457102,4.844157254181033e-05,0.0,0.0,7.115594707474814e-12,7.707399199440396e-12
36,28.9391468807875,0.00026495566539168065,3.211276750737689e-05,0.0,0.0,1.5272401444942005e-11,1.7052786390308462e-11,28.938981946775,0.00026363383188967416,2.9607331892323567e-05,0.0,0.0,1.385882348654313e-11,1.5579072758585452e-11,28.945900364487503,0.00032090942317714505,4.9430048922394665e-05,0.0,0.0,2.1188302018632753e-11,2.1518126320550253e-11
37,27.775903310025,0.0002659073387827084,3.2886017891866486e-05,0.0,0.0,4.319961618245363e-11,4.517676933840114e-11,27.77574603165,0.00026476840479168457,3.0372182001217398e-05,0.0,0.0,3.930331827237933e-11,4.103215082983412e-11,27.782672698037498,0.00032288487453966807,5.051383976047673e-05,0.0,0.0,5.934556812197716e-11,5.706950350977363e-11
38,26.646448948725002,0.0002669418032655085,3.374045025612823e-05,0.0,0.0,1.1494776350135043e-10,1.1342038277781113e-10,26.6462996202375,0.00026601017951477843,3.1214193606562236e-05,0.0,0.0,1.0484881380055505e-10,1.0277859002830486e-10,26.653226038612498,0.0003250124541493278,5.171328740695782e-05,0.0,0.0,1.5616540011013602e-10,1.4342074211690612e-10
39,25.55018787745,0.00026807551722755305,3.469212494827863e-05,0.0,0.0,2.8747282906133093e-10,2.69495975779116e-10,25.5500466607625,0.00026738234175762045,3.2152019452686044e-05,0.0,0.0,2.628705896349527e-10,2.443172148271723e-10,25.5569644957125,0.0003273229609697591,5.3053086620122704e-05,0.0,0.0,3.857414538493047e-10,3.407386152641661e-10
