level,-kappa-0.01_pressure_bar,-kappa-0.01_H2S_mean,-kappa-0.01_H2S_std,-kappa-0.01_NH4SH_s__mean,-kappa-0.01_NH4SH_s__std,-kappa-0.01_NH4SH_s_p__mean,-kappa-0.01_NH4SH_s_p__std,-kappa-0.1_pressure_bar,-kappa-0.1_H2S_mean,-kappa-0.1_H2S_std,-kappa-0.1_NH4SH_s__mean,-kappa-0.1_NH4SH_s__std,-kappa-0.1_NH4SH_s_p__mean,-kappa-0.1_NH4SH_s_p__std,-kappa-1.0_pressure_bar,-kappa-1.0_H2S_mean,-kappa-1.0_H2S_std,-kappa-1.0_NH4SH_s__mean,-kappa-1.0_NH4SH_s__std,-kappa-1.0_NH4SH_s_p__mean,-kappa-1.0_NH4SH_s_p__std
0,98.641808724,0.00015747854592831572,3.280612467349596e-07,0.0,0.0,1.7239130492725902e-40,1.771374525489122e-39,98.64185334915,0.000157440787189189,2.0091084295284227e-07,0.0,0.0,6.53178841741565e-41,5.3616641077251755e-40,98.64310833475,0.0001574151384520519,2.6951240139005556e-07,0.0,0.0,2.839609190900937e-40,2.6295049436326934e-39
1,95.83570845605001,0.0002014481461250398,1.3077001795111054e-05,0.0,0.0,1.4579077895897383e-39,1.4971861895947482e-38,95.83577874619999,0.00020080951597083185,1.1040876754434232e-05,0.0,0.0,5.524578438694627e-40,4.544438723549246e-39,95.8368811927,0.00021147326176476782,1.0378515246998673e-05,0.0,0.0,2.3999928823186362e-39,2.2255926346646681e-38
2,93.08915590670001,0.00021283412167482312,1.1361791262955389e-05,0.0,0.0,1.358961812535639e-38,1.3870130676457476e-37,93.0892603297,0.0002122464879025938,9.963253178814943e-06,0.0,0.0,5.1565972230835803e-39,4.232381058099947e-38,93.09038659285,0.0002360850195333478,7.025587767758857e-06,0.0,0.0,2.2381420635998208e-38,2.0638395937373427e-37
3,90.39926189855,0.00021647667427729175,1.0985662145483687e-05,0.0,0.0,1.2481281088302307e-37,1.2611874967618117e-36,90.39936777419999,0.00021591397095020512,9.750917761383817e-06,0.0,0.0,4.744894719165743e-38,3.876348379218633e-37,90.40080698205,0.0002458037221491395,5.964762620279272e-06,0.0,0.0,2.056023724651803e-37,1.878154813673678e-36
4,87.76524872840001,0.00021827655777808104,1.1037142419141636e-05,0.0,0.0,1.1293634910745925e-36,1.1250767814066856e-35,87.7653438184,0.00021779979386752529,9.967182512980338e-06,0.0,0.0,4.303744442882819e-37,3.490346161998382e-36,87.76710247595,0.00025086073461752674,6.5938569364001e-06,0.0,0.0,1.8611093341298405e-36,1.6774515850715497e-35
5,85.18642798875,0.00021940793761481472,1.1219913809096113e-05,0.0,0.0,1.0062608653668085e-35,9.84161140729636e-35,85.18651300625,0.00021904205659280707,1.0352349799580652e-05,0.0,0.0,3.845891988161334e-36,3.088078953648851e-35,85.18858724719999,0.0002542325889771746,7.563187041211494e-06,0.0,0.0,1.6595731923668566e-35,1.4698141456094372e-34
6,82.662147676275,0.0002202331386662263,1.148411009877619e-05,0.0,0.0,8.823254238438005e-35,8.43772620183263e-34,82.662220799625,0.00021997390561438805,1.0798585027708883e-05,0.0,0.0,3.383783786996114e-35,2.6831231752039353e-34,82.6646110182,0.00025691227670860827,8.648934078136217e-06,0.0,0.0,1.4570050074408194e-34,1.262916862647159e-33
7,80.1917218147,0.0002208919114483433,1.1812566784050323e-05,0.0,0.0,7.6083073095143325e-34,7.08641694492897e-33,80.1917819142,0.00022073026059384575,1.1275160214294036e-05,0.0,0.0,2.929183860490406e-34,2.2878528539416742e-33,80.19449594825,0.0002592439789807395,9.812131125911367e-06,0.0,0.0,1.2585265616902274e-33,1.0636013091876551e-32
8,77.77446621435,0.0002214498189335427,1.219245594170897e-05,0.0,0.0,6.447144184419094e-33,5.826817215641231e-32,77.7745113478,0.00022137864732816524,1.1766458297796107e-05,0.0,0.0,2.4927869782070675e-33,1.9130536392100987e-32,77.777556790275,0.00026132860603087464,1.1006529513382037e-05,0.0,0.0,1.0687101799833722e-32,8.774690468495658e-32
9,75.409692475925,0.0002219401147181634,1.2606190958234696e-05,0.0,0.0,5.36438631764376e-32,4.687808817382055e-31,75.4097213747,0.00022195003202774387,1.2240481420579359e-05,0.0,0.0,2.0837523963915592e-32,1.5674121094458855e-31,75.413105435375,0.00026321447216760135,1.2228649793131287e-05,0.0,0.0,8.914270315546701e-32,7.086570102904092e-31
