level,-kappa-0.01_pressure_bar,-kappa-0.01_n2_mean_s-2,-kappa-0.01_n2_std_s-2,-kappa-0.1_pressure_bar,-kappa-0.1_n2_mean_s-2,-kappa-0.1_n2_std_s-2,-kappa-1.0_pressure_bar,-kappa-1.0_n2_mean_s-2,-kappa-1.0_n2_std_s-2
0,98.641808724,1.6680831724498572e-05,1.5489505815948832e-06,98.64185334915,1.701613620205632e-05,1.5644564445512727e-06,98.64310833475002,1.5403611766034154e-05,1.7378277948385655e-06
1,95.83570845604999,5.564440173903635e-06,5.971588947497754e-07,95.83577874619999,5.625949236454119e-06,5.836263634054005e-07,95.8368811927,6.136805630404938e-06,4.2346654907261835e-07
2,93.08915590670001,-8.314187968493566e-08,4.1254788307283845e-07,93.08926032970002,-1.5990106799442677e-07,4.691746705145419e-07,93.09038659284998,6.657916946689587e-07,8.082908582220237e-07
3,90.39926189854998,-2.857622633821926e-07,1.7157535205540464e-07,90.39936777420003,-3.173469381584793e-07,1.5800177914194957e-07,90.40080698205001,-2.4944987568199723e-07,5.155229473135836e-07
4,87.76524872839998,-2.588146081768979e-07,7.380614688943164e-08,87.76534381840001,-2.570006060783726e-07,5.5867975817395234e-08,87.76710247595001,-2.1871933209139017e-07,2.5072951621295013e-07
5,85.18642798875,-1.2858192110631903e-07,5.529210473135452e-08,85.18651300625,-1.3434543243195232e-07,4.3074252474312126e-08,85.18858724719998,-8.495611754156013e-08,1.1166834227402254e-07
6,82.66214767627501,-9.747075160613855e-08,3.270175659827846e-08,82.66222079962502,-1.0223377126355298e-07,2.571664350361411e-08,82.66461101819999,-2.8699120098035107e-08,9.032312788713595e-08
7,80.19172181469997,-6.796126945735137e-08,2.879677986017076e-08,80.1917819142,-7.523993726448416e-08,2.1902476860446597e-08,80.19449594825001,5.931469320702684e-10,7.941665970962081e-08
8,77.77446621435001,-5.734408146330562e-08,2.453984574957857e-08,77.7745113478,-6.29697988679717e-08,1.784511763898414e-08,77.777556790275,1.4599712571779014e-08,6.291156143881469e-08
9,75.40969247592501,-4.520209179401803e-08,2.289366348074466e-08,75.4097213747,-5.0785447336606454e-08,1.6788497358065805e-08,75.413105435375,1.7829718364895568e-08,5.2147561973160865e-08
10,73.09671544762497,-3.817311424009231e-08,2.122551736108022e-08,73.096727076075,-4.2978515903748247e-08,1.516360737247044e-08,73.100452986225,1.5748306034412515e-08,4.749853506228995e-08
11,70.83485113207499,-3.1572478468384755e-08,2.0062623277907802e-08,70.8348447272,-3.603116173282772e-08,1.381625379235824e-08,70.83891184084999,1.5946650426793745e-08,4.224080524118215e-08
12,68.62341818132501,-2.694126670864788e-08,1.8856578896192826e-08,68.62339320049999,-3.084798235111649e-08,1.2667860767939836e-08,68.62779820545,1.881657397108738e-08,3.946996610509633e-08
13,66.46173761222501,-2.2633917425541196e-08,1.7882483897213217e-08,66.46169371245,-2.6397196147855607e-08,1.1866534201205462e-08,66.4664320499,2.3087836861356673e-08,3.892891920283289e-08
14,64.34913326542501,-1.9054341102224614e-08,1.7025908612050692e-08,64.34907020885001,-2.2778904830673407e-08,1.1064679801080444e-08,64.35413673259998,2.766216058820053e-08,3.978954484978196e-08
