pressure_bar,temperature_K,H2O_D1mm_timescale_s,H2O_D2mm_timescale_s,H2O_D5mm_timescale_s,H2O_D10mm_timescale_s,NH3_D1mm_timescale_s,NH3_D2mm_timescale_s,NH3_D5mm_timescale_s,NH3_D10mm_timescale_s,realistic_pressure_bar,H2O_realistic_timescale_s,NH3_realistic_timescale_s
1.00000000e-01,8.33697297e+01,7.41935482e+24,2.96774193e+25,1.85483871e+26,7.41935482e+26,8.69559956e+12,3.47823982e+13,2.17389989e+14,8.69559956e+14,9.86418087e+01,nan,nan
1.02337180e-01,8.39218583e+01,4.56656819e+24,1.82662727e+25,1.14164205e+26,4.56656819e+26,6.42753128e+12,2.57101251e+13,1.60688282e+14,6.42753128e+14,9.58357085e+01,nan,nan
1.04728984e-01,8.44776434e+01,2.81987030e+24,1.12794812e+25,7.04967575e+25,2.81987030e+26,4.76100059e+12,1.90440024e+13,1.19025015e+14,4.76100059e+14,9.30891559e+01,nan,nan
1.07176689e-01,8.50371093e+01,1.74692552e+24,6.98770208e+24,4.36731380e+25,1.74692552e+26,3.53391141e+12,1.41356457e+13,8.83477854e+13,3.53391141e+14,9.03992619e+01,nan,nan
1.09681601e-01,8.56002804e+01,1.08571656e+24,4.34286625e+24,2.71429141e+25,1.08571656e+26,2.62851540e+12,1.05140616e+13,6.57128850e+13,2.62851540e+14,8.77652487e+01,nan,nan
1.12245057e-01,8.61671812e+01,6.76933748e+23,2.70773499e+24,1.69233437e+25,6.76933748e+25,1.95910148e+12,7.83640590e+12,4.89775369e+13,1.95910148e+14,8.51864280e+01,nan,nan
1.14868426e-01,8.67378363e+01,4.23403426e+23,1.69361370e+24,1.05850857e+25,4.23403426e+25,1.46315054e+12,5.85260215e+12,3.65787634e+13,1.46315054e+14,8.26621477e+01,nan,nan
1.17553107e-01,8.73122707e+01,2.65663567e+23,1.06265427e+24,6.64158918e+24,2.65663567e+25,1.09496676e+12,4.37986706e+12,2.73741691e+13,1.09496676e+14,8.01917218e+01,nan,nan
1.20300535e-01,8.78905094e+01,1.67213005e+23,6.68852021e+23,4.18032513e+24,1.67213005e+25,8.21082737e+11,3.28433095e+12,2.05270684e+13,8.21082737e+13,7.77744662e+01,nan,nan
1.23112175e-01,8.84725775e+01,1.05574632e+23,4.22298527e+23,2.63936579e+24,1.05574632e+25,6.16937563e+11,2.46775025e+12,1.54234391e+13,6.16937563e+13,7.54096925e+01,nan,nan
