pressure_bar,temperature_K,H2O_D1mm_timescale_s,H2O_D2mm_timescale_s,H2O_D5mm_timescale_s,H2O_D10mm_timescale_s,NH3_D1mm_timescale_s,NH3_D2mm_timescale_s,NH3_D5mm_timescale_s,NH3_D10mm_timescale_s,realistic_pressure_bar,H2O_realistic_timescale_s,NH3_realistic_timescale_s
9.86418087e+01,5.97544141e+02,1.29324674e-01,5.17298695e-01,3.23311685e+00,1.29324674e+01,1.37249132e-01,5.48996528e-01,3.43122830e+00,1.37249132e+01,9.86418087e+01,nan,nan
9.58357085e+01,5.93538164e+02,1.34117505e-01,5.36470019e-01,3.35293762e+00,1.34117505e+01,1.37219958e-01,5.48879834e-01,3.43049896e+00,1.37219958e+01,9.58357085e+01,nan,nan
9.30891559e+01,5.88629956e+02,1.40379940e-01,5.61519760e-01,3.50949850e+00,1.40379940e+01,1.37240588e-01,5.48962351e-01,3.43101469e+00,1.37240588e+01,9.30891559e+01,nan,nan
9.03992619e+01,5.83704662e+02,1.47133622e-01,5.88534487e-01,3.67834054e+00,1.47133622e+01,1.37325702e-01,5.49302807e-01,3.43314254e+00,1.37325702e+01,9.03992619e+01,nan,nan
8.77652487e+01,5.78763388e+02,1.54426426e-01,6.17705703e-01,3.86066065e+00,1.54426426e+01,1.37478258e-01,5.49913034e-01,3.43695646e+00,1.37478258e+01,8.77652487e+01,nan,nan
8.51864280e+01,5.73842411e+02,1.62253678e-01,6.49014712e-01,4.05634195e+00,1.62253678e+01,1.37699559e-01,5.50798238e-01,3.44248899e+00,1.37699559e+01,8.51864280e+01,nan,nan
8.26621477e+01,5.68921873e+02,1.70698536e-01,6.82794144e-01,4.26746340e+00,1.70698536e+01,1.37992769e-01,5.51971076e-01,3.44981923e+00,1.37992769e+01,8.26621477e+01,nan,nan
8.01917218e+01,5.64005788e+02,1.79814601e-01,7.19258405e-01,4.49536503e+00,1.79814601e+01,1.38360465e-01,5.53441859e-01,3.45901162e+00,1.38360465e+01,8.01917218e+01,nan,nan
7.77744662e+01,5.59089876e+02,1.89677534e-01,7.58710136e-01,4.74193835e+00,1.89677534e+01,1.38806026e-01,5.55224103e-01,3.47015064e+00,1.38806026e+01,7.77744662e+01,nan,nan
7.54096925e+01,5.54175450e+02,2.00361262e-01,8.01445049e-01,5.00903155e+00,2.00361262e+01,1.39332719e-01,5.57330875e-01,3.48331797e+00,1.39332719e+01,7.54096925e+01,nan,nan
7.30967154e+01,5.49261427e+02,2.11954050e-01,8.47816202e-01,5.29885126e+00,2.11954050e+01,1.39944325e-01,5.59777300e-01,3.49860812e+00,1.39944325e+01,7.30967154e+01,nan,nan
7.08348511e+01,5.44348085e+02,2.24552123e-01,8.98208494e-01,5.61380308e+00,2.24552123e+01,1.40644806e-01,5.62579224e-01,3.51612015e+00,1.40644806e+01,7.08348511e+01,nan,nan
6.86234182e+01,5.39435064e+02,2.38265647e-01,9.53062587e-01,5.95664117e+00,2.38265647e+01,1.41438553e-01,5.65754212e-01,3.53596382e+00,1.41438553e+01,6.86234182e+01,nan,nan
6.64617376e+01,5.34522424e+02,2.53217956e-01,1.01287182e+00,6.33044889e+00,2.53217956e+01,1.42330278e-01,5.69321111e-01,3.55825695e+00,1.42330278e+01,6.64617376e+01,nan,nan
6.43491333e+01,5.29610069e+02,2.69549165e-01,1.07819666e+00,6.73872913e+00,2.69549165e+01,1.43325132e-01,5.73300528e-01,3.58312830e+00,1.43325132e+01,6.43491333e+01,nan,nan
6.22849317e+01,5.24697993e+02,2.87417948e-01,1.14967179e+00,7.18544870e+00,2.87417948e+01,1.44428705e-01,5.77714819e-01,3.61071762e+00,1.44428705e+01,6.22849317e+01,nan,nan
6.02684625e+01,5.19786136e+02,3.07004930e-01,1.22801972e+00,7.67512325e+00,3.07004930e+01,1.45647096e-01,5.82588385e-01,3.64117741e+00,1.45647096e+01,6.02684625e+01,nan,nan
5.82990580e+01,5.14874465e+02,3.28515852e-01,1.31406341e+00,8.21289629e+00,3.28515852e+01,1.46986952e-01,5.87947807e-01,3.67467380e+00,1.46986952e+01,5.82990580e+01,nan,nan
