level,-kappa-0.01_pressure_bar,-kappa-0.01_H2O_mean,-kappa-0.01_H2O_std,-kappa-0.01_H2O_l__mean,-kappa-0.01_H2O_l__std,-kappa-0.01_H2O_l_p__mean,-kappa-0.01_H2O_l_p__std,-kappa-0.1_pressure_bar,-kappa-0.1_H2O_mean,-kappa-0.1_H2O_std,-kappa-0.1_H2O_l__mean,-kappa-0.1_H2O_l__std,-kappa-0.1_H2O_l_p__mean,-kappa-0.1_H2O_l_p__std,-kappa-1.0_pressure_bar,-kappa-1.0_H2O_mean,-kappa-1.0_H2O_std,-kappa-1.0_H2O_l__mean,-kappa-1.0_H2O_l__std,-kappa-1.0_H2O_l_p__mean,-kappa-1.0_H2O_l_p__std
0,98.58448937000001,0.024964512402191757,8.654547011658239e-07,0.0,0.0,0.0,0.0,98.58811272,0.024964811326004564,1.970913172299669e-06,0.0,0.0,0.0,0.0,98.58738879,0.024964460546150802,8.165443669481805e-07,0.0,0.0,0.0,0.0
1,95.82561864,0.024968933492898943,5.967871000226481e-05,0.0,0.0,0.0,0.0,95.829075065,0.02498769849166274,6.545752428352018e-05,0.0,0.0,0.0,0.0,95.82853919,0.024970326288603246,6.466096978209804e-05,0.0,0.0,0.0,0.0
2,93.12367735,0.024977182392962278,5.366457538399636e-05,0.0,0.0,0.0,0.0,93.12692488,0.02498090341500938,6.567664338356778e-05,0.0,0.0,0.0,0.0,93.12678875,0.024967343925498427,7.1445960652021e-05,0.0,0.0,0.0,0.0
3,90.47637869,0.024985120866447687,5.0191554028896485e-05,0.0,0.0,0.0,0.0,90.47946641,0.024977342044934632,6.439769553330233e-05,0.0,0.0,0.0,0.0,90.47974477,0.024965996389277278,7.09682475395411e-05,0.0,0.0,0.0,0.0
4,87.883184135,0.02498921595327556,4.925850815296037e-05,0.0,0.0,0.0,0.0,87.88615886,0.02497341900318861,6.175852580301254e-05,0.0,0.0,0.0,0.0,87.886797775,0.024963955824263393,6.809433587978926e-05,0.0,0.0,0.0,0.0
5,85.343427525,0.024990729166194797,4.8179384914396296e-05,0.0,0.0,0.0,0.0,85.34630164999999,0.02496866139676422,5.8563430485707365e-05,0.0,0.0,0.0,0.0,85.34727827500001,0.024961843892931938,6.627135329092306e-05,0.0,0.0,0.0,0.0
6,82.85649633,0.024991427646949886,4.5315584731679304e-05,0.0,0.0,0.0,0.0,82.8592877325,0.024964787777513264,5.652659199462227e-05,0.0,0.0,0.0,0.0,82.860568335,0.02495980920176953,6.355053936958696e-05,0.0,0.0,0.0,0.0
7,80.42172581,0.024992835564538837,4.233924097203067e-05,0.0,0.0,0.0,0.0,80.4244436075,0.02496273721475154,5.610242282181548e-05,0.0,0.0,0.0,0.0,80.42601334,0.02495808990392834,6.049152157718977e-05,0.0,0.0,0.0,0.0
8,78.0384753825,0.024994414239190518,4.1217861357951716e-05,0.0,0.0,0.0,0.0,78.041120725,0.02496174820046872,5.937814940150539e-05,0.0,0.0,0.0,0.0,78.04295874750001,0.024955611005425454,5.9342706125147966e-05,0.0,0.0,0.0,0.0
9,75.7060856675,0.02499522043764591,3.96132184302377e-05,0.0,0.0,0.0,0.0,75.70866290000001,0.024961194230243563,6.0838366200495826e-05,0.0,0.0,0.0,0.0,75.710757665,0.0249526609769091,5.8974674548393205e-05,0.0,0.0,0.0,0.0
10,73.42390758,0.0249948945119977,3.8587996122269056e-05,0.0,0.0,0.0,0.0,73.42641700749999,0.024960185093805196,5.9471894265937465e-05,0.0,0.0,0.0,0.0,73.42875428,0.024950272526592016,5.8704574322252556e-05,0.0,0.0,0.0,0.0
11,71.1912908975,0.024994699832983316,3.8145892370603174e-05,0.0,0.0,0.0,0.0,71.19372888000001,0.02495919185411185,5.703292914711521e-05,0.0,0.0,0.0,0.0,71.1962992775,0.024948081839829682,6.03888348552663e-05,0.0,0.0,0.0,0.0
12,69.00758451,0.02499515382666141,3.8352257290044564e-05,0.0,0.0,0.0,0.0,69.0099526125,0.02495888827741146,5.562300109610976e-05,0.0,0.0,0.0,0.0,69.01274046249999,0.024945440985262395,6.269415279372179e-05,0.0,0.0,0.0,0.0
13,66.8721411875,0.02499516092427075,3.814556641890442e-05,0.0,0.0,0.0,0.0,66.8744389875,0.024959071354940535,5.524313599957989e-05,0.0,0.0,0.0,0.0,66.87743333,0.02494298311136663,6.347241533675963e-05,0.0,0.0,0.0,0.0
14,64.78431696,0.024994087481871246,3.699287340516581e-05,0.0,0.0,0.0,0.0,64.7865466775,0.02495880492031574,5.622191280097037e-05,0.0,0.0,0.0,0.0,64.7897326375,0.024941966897808015,6.387308049573923e-05,0.0,0.0,0.0,0.0
15,62.743468405,0.024992118587717414,3.674850719913855e-05,0.0,0.0,0.0,0.0,62.745628845,0.02495806821063161,5.7538571889431824e-05,0.0,0.0,0.0,0.0,62.748998462500005,0.024942315734922886,6.327719332853933e-05,0.0,0.0,0.0,0.0
16,60.7489559825,0.0249901944315061,3.761885455605292e-05,0.0,0.0,7.006492321624086e-49,3.1326151753974123e-47,60.751050105,0.024957666077651083,5.837673895268419e-05,0.0,0.0,0.0,0.0,60.754591392500004,0.024942830106243492,6.162089997970542e-05,0.0,0.0,0.0,0.0
17,58.800143875,0.02498899849783629,4.04725459574623e-05,0.0,0.0,7.707141553786493e-48,2.5250507919236062e-46,58.80217365,0.024958104245364664,5.890289963797184e-05,0.0,0.0,0.0,0.0,58.8058761125,0.024942920119501652,6.0588253632419785e-05,0.0,0.0,2.802596928649634e-48,7.670109261811592e-47
18,56.896396515,0.024988209498114883,4.590236949150764e-05,0.0,0.0,1.0229478789571164e-46,3.2577314246686534e-45,56.898365735,0.024958925950340927,5.89261615141598e-05,0.0,0.0,0.0,0.0,56.90221861,0.02494230186380446,6.043390320219536e-05,0.0,0.0,4.624284932271897e-47,1.1200846066269878e-45
19,55.0370845225,0.024987346962094308,4.852154347157474e-05,0.0,0.0,1.2583660209636858e-45,3.970884250635594e-44,55.038994814999995,0.024959285674616694,5.842138559824464e-05,0.0,0.0,8.407790785948903e-48,1.2505362107133258e-46,55.0429914275,0.024941066075116397,6.007835875319775e-05,0.0,0.0,6.0395963812399615e-46,1.4365068567250847e-44
20,53.2215810875,0.024986188451759518,4.729434358123312e-05,0.0,0.0,1.5410079212180013e-44,4.820720308783848e-43,53.223432107499995,0.0249588404269889,5.7624432707216686e-05,0.0,0.0,1.8357009882655104e-46,1.7988213548613146e-45,53.227564725,0.02493994079530239,5.935267338667952e-05,0.0,0.0,7.748479858484075e-45,1.8203678864118496e-43
21,51.44925911,0.024984985221177338,4.499686833654572e-05,0.0,0.0,1.863832054936831e-43,5.796791288574552e-42,51.451052897500006,0.02495792962424457,5.691770577433185e-05,0.0,0.0,2.843234584115054e-45,2.4146334888388564e-44,51.4553132075,0.02493964228499681,5.876010514439604e-05,0.0,0.0,9.86219846207163e-44,2.2888435802655033e-42
22,49.719499667499996,0.024984047553502024,4.416331010169759e-05,0.0,0.0,2.2323896659865975e-42,6.904770323915034e-41,49.72123419,0.024957182907499372,5.6915686626298136e-05,0.0,0.0,3.9237758299559205e-44,3.2269090569632322e-43,49.725615530000006,0.024939812117256224,5.912801605877209e-05,0.0,0.0,1.2400937896381223e-42,2.856283924574763e-41
23,48.0316799375,0.024983170450665056,4.438832481125196e-05,0.0,0.0,2.64970748898532e-41,8.148390177928214e-40,48.033357672499996,0.024956843567080795,5.779879346764634e-05,0.0,0.0,5.32111562611902e-43,4.300051477276518e-42,48.037853705,0.024939776653423906,5.9534969273729844e-05,0.0,0.0,1.5479180042052799e-41,3.5392757465953877e-40
24,46.385184872500005,0.024982317027635873,4.494995737349871e-05,0.0,0.0,3.11877711398553e-40,9.529021303864284e-39,46.386807995,0.024956574548967183,5.813108999588004e-05,0.0,0.0,7.186615226228397e-42,5.711156567085003e-41,46.3914100325,0.024939312129281462,5.9286744272923526e-05,0.0,0.0,1.9201484115235495e-40,4.357656341095186e-39
25,44.7794022325,0.024981512732803822,4.585690874654271e-05,0.0,0.0,3.6425722091330526e-39,1.104736822057354e-37,44.7809729175,0.024955929503776134,5.7315339997403294e-05,0.0,0.0,9.678500354630364e-41,7.558035075159624e-40,44.785672555,0.024939112550579012,5.9016599567879135e-05,0.0,0.0,2.3671577451245104e-39,5.330389831129858e-38
26,43.213721477499995,0.0249806883148849,4.655510232164478e-05,0.0,0.0,4.225667926402818e-38,1.2705743238635412e-36,43.2152443425,0.024954745839349927,5.610597642291663e-05,0.0,0.0,1.2994433674534504e-39,9.962296243285364e-39,43.220030072499995,0.02493959213141352,5.9195049512065256e-05,0.0,0.0,2.9002102075584003e-38,6.4772188475277204e-37
27,41.68753566875,0.02497962404601276,4.6767759014261884e-05,0.0,0.0,4.870076593714275e-37,1.4496299139821667e-35,41.68901284,0.024953165895305576,5.5695863186313023e-05,0.0,0.0,1.7387344092986792e-38,1.307311348398766e-37,41.69387712375,0.02494037323910743,6.069751806957551e-05,0.0,0.0,3.5313199119659393e-37,7.817753119352551e-36
28,40.20024207,0.02497835113760084,4.75365727762148e-05,0.0,0.0,5.576231799544156e-36,1.640271377318836e-34,40.2016750525,0.024951689748093486,5.610605421125089e-05,0.0,0.0,2.3179001909387257e-37,1.7072095095328787e-36,40.20660899125,0.024941042144782842,6.301922786226698e-05,0.0,0.0,4.273074354815198e-36,9.37035301240331e-35
