level,-kappa-0.01_pressure_bar,-kappa-0.01_NH3_mean,-kappa-0.01_NH3_std,-kappa-0.01_NH3_s__mean,-kappa-0.01_NH3_s__std,-kappa-0.01_NH3_s_p__mean,-kappa-0.01_NH3_s_p__std,-kappa-0.1_pressure_bar,-kappa-0.1_NH3_mean,-kappa-0.1_NH3_std,-kappa-0.1_NH3_s__mean,-kappa-0.1_NH3_s__std,-kappa-0.1_NH3_s_p__mean,-kappa-0.1_NH3_s_p__std,-kappa-1.0_pressure_bar,-kappa-1.0_NH3_mean,-kappa-1.0_NH3_std,-kappa-1.0_NH3_s__mean,-kappa-1.0_NH3_s__std,-kappa-1.0_NH3_s_p__mean,-kappa-1.0_NH3_s_p__std
0,98.58448937000001,0.002517498653382063,1.6898982969392517e-07,0.0,0.0,0.0,0.0,98.58811272,0.002517507425858639,2.1059558421508699e-07,0.0,0.0,0.0,0.0,98.58738879,0.0025175153530435637,2.533121775444439e-07,0.0,0.0,0.0,0.0
1,95.82561864,0.002526186644565314,3.082910478658041e-06,0.0,0.0,0.0,0.0,95.829075065,0.0025274250861257314,3.383464071422237e-06,0.0,0.0,0.0,0.0,95.82853919,0.0025306404333096,4.962729181074611e-06,0.0,0.0,0.0,0.0
2,93.12367735,0.002526857288903557,2.4232044398585065e-06,0.0,0.0,0.0,0.0,93.12692488,0.0025283142790431157,2.7352264914209095e-06,0.0,0.0,0.0,0.0,93.12678875,0.0025326705785701053,3.8210524294688885e-06,0.0,0.0,0.0,0.0
3,90.47637869,0.0025269968943903223,2.022911961255446e-06,0.0,0.0,0.0,0.0,90.47946641,0.0025284923263825475,2.4684470629002463e-06,0.0,0.0,0.0,0.0,90.47974477,0.0025331057091243564,3.3113890561067184e-06,0.0,0.0,0.0,0.0
4,87.883184135,0.0025270642301766203,1.7905897747968533e-06,0.0,0.0,0.0,0.0,87.88615886,0.002528567395173013,2.306936981610653e-06,0.0,0.0,0.0,0.0,87.886797775,0.002533236626419239,3.105379832039549e-06,0.0,0.0,0.0,0.0
5,85.343427525,0.0025271165345329793,1.6742111387000024e-06,0.0,0.0,0.0,0.0,85.34630164999999,0.0025286440810887143,2.175842716198552e-06,0.0,0.0,0.0,0.0,85.34727827500001,0.002533306358731352,3.0769184772844817e-06,0.0,0.0,0.0,0.0
6,82.85649633,0.0025271399180637672,1.6118551526730743e-06,0.0,0.0,0.0,0.0,82.8592877325,0.0025287466442678124,2.0721818113656713e-06,0.0,0.0,0.0,0.0,82.860568335,0.0025333469449542465,2.933392473057403e-06,0.0,0.0,0.0,0.0
7,80.42172581,0.0025271387146785854,1.5527274072471462e-06,0.0,0.0,0.0,0.0,80.4244436075,0.0025287925801239907,2.0451343963103007e-06,0.0,0.0,0.0,0.0,80.42601334,0.0025333210446406157,2.572429990866515e-06,0.0,0.0,0.0,0.0
8,78.0384753825,0.002527116552460939,1.4937686061847932e-06,0.0,0.0,0.0,0.0,78.041120725,0.002528802609886043,2.047328268912347e-06,0.0,0.0,0.0,0.0,78.04295874750001,0.002533295576344244,2.331440515336907e-06,0.0,0.0,0.0,0.0
9,75.7060856675,0.002527062865672633,1.412932394113476e-06,0.0,0.0,0.0,0.0,75.70866290000001,0.0025288441769080235,2.0206883597850464e-06,0.0,0.0,0.0,0.0,75.710757665,0.0025332865739474074,2.2375381740760644e-06,0.0,0.0,0.0,0.0
10,73.42390758,0.0025270192944444715,1.3480303552602322e-06,0.0,0.0,0.0,0.0,73.42641700749999,0.0025289176355581732,1.968389051887743e-06,0.0,0.0,0.0,0.0,73.42875428,0.002533297409536317,2.2595720503165447e-06,0.0,0.0,0.0,0.0
11,71.1912908975,0.00252698190161027,1.2992491352969723e-06,0.0,0.0,0.0,0.0,71.19372888000001,0.0025289619611576198,1.9051762508193305e-06,0.0,0.0,0.0,0.0,71.1962992775,0.002533353859791532,2.2856642673686834e-06,0.0,0.0,0.0,0.0
12,69.00758451,0.0025269528118660673,1.2837143610890005e-06,0.0,0.0,0.0,0.0,69.0099526125,0.002528957556351088,1.8674245951060033e-06,0.0,0.0,0.0,0.0,69.01274046249999,0.0025334374931408094,2.284357609912684e-06,0.0,0.0,0.0,0.0
