level,-kappa-0.01_pressure_bar,-kappa-0.01_theta_mean,-kappa-0.01_theta_std,-kappa-0.1_pressure_bar,-kappa-0.1_theta_mean,-kappa-0.1_theta_std,-kappa-1.0_pressure_bar,-kappa-1.0_theta_mean,-kappa-1.0_theta_std
0,98.57416474349999,164.7494669028473,0.007037053934470464,98.57427396995,164.74943133361816,0.007110223188042765,98.5737588522,164.74972900505065,0.005384018674740013
1,95.81560214144999,164.94516424827574,0.01921819608387045,95.81570882375,164.9454280987549,0.020351303942402,95.81530690455001,164.9611677618408,0.019975358069468086
2,93.11409527425,164.9344763808441,0.016442735478640065,93.11420963260001,164.9358602507019,0.01631373109009509,93.11406830245,164.9587032951355,0.01498783486399158
3,90.46735019604999,164.93471773078917,0.012045662291033899,90.4674829,164.93595730682372,0.012146065364699888,90.46763513584999,164.9572880557251,0.011488946379879912
4,87.87471560285,164.92584562782287,0.011733662407806511,87.87486865205,164.92718911239623,0.011886795296038736,87.87529411745001,164.948886723938,0.01090510185070205
5,85.33551457994999,164.92441528755188,0.01046016337636833,85.33568950415,164.92560316062927,0.01074824491269255,85.33637548635001,164.9466768588257,0.009802142259803826
6,82.849125875425,164.92113733207702,0.010079550441340084,82.849322075875,164.92225815475464,0.010457117351095566,82.850254453275,164.94354151237488,0.009385946078117206
7,80.414887441175,164.91986968444823,0.009515675383181894,80.415104316225,164.9208649848938,0.009977278565478701,80.416273058675,164.94203743232728,0.008868890098263726
8,78.03214980372499,164.9181408340454,0.00924255578861227,78.03238645885,164.91907579078674,0.009728814976465362,78.0337808487,164.9403665145111,0.008572757774417622
9,75.7002560529,164.91708412521362,0.008933808044364232,75.70051163005,164.9179816092682,0.009434071337291019,75.7021219439,164.93926663848876,0.00829306892532258
10,73.418554585775,164.9159904572296,0.008738855272863673,73.418828307975,164.91685898338318,0.009218343507363424,73.42064460015,164.93820494018556,0.00811400155093251
11,71.186393772275,164.91517995895387,0.008567953690996851,71.18668452985,164.91600816108703,0.009022508175768704,71.1886971422,164.93737811805724,0.007962068735359337
12,69.00312503295,164.9144173538208,0.008427099665750875,69.00343178074999,164.91519847221375,0.008869045083463194,69.00563098147501,164.9366224104309,0.007839389410127148
13,66.86810146147499,164.91378336273192,0.008297481779590572,66.868423113525,164.91451599113464,0.008722664904389934,66.87079965630001,164.93598960861206,0.007735465885324861
14,64.78067909777499,164.91319216178894,0.008213674444154315,64.78101454765,164.91388981140136,0.008601831805296258,64.78355921582501,164.9354193421936,0.007649808239845911
15,62.740216300374996,164.9126705392456,0.008159054157652439,62.74056457895001,164.91334458557128,0.00849381652676942,62.743268326425,164.93491971839904,0.007585826685995149
16,60.746074390425,164.91219447883606,0.008116780312626729,60.746434729575,164.91284553215027,0.008419955627896604,60.7492883688,164.93446444839478,0.007542811231719729
17,58.797617355575,164.91176485923768,0.008085980172020299,58.797988820825,164.91239516113282,0.008373413822526363,58.8009836574,164.93405394729615,0.007506928365907759
18,56.894212043075,164.9113667803955,0.00806337394561537,56.894593849900005,164.91197740753174,0.00834612548102909,56.897721197974995,164.93367429153443,0.007464540306038879
19,55.035228210075005,164.9110037588501,0.008047636017057316,55.035619414050004,164.91159339752198,0.008326988418817956,55.03887083572501,164.93332498062134,0.007423796691818501
20,53.22003825615,164.91066417625427,0.008033341643212257,53.220438153975,164.91124279045104,0.008318511217230777,53.22380531095,164.93300390975952,0.007389106034887932
21,51.4480177904,164.91034217964173,0.008032520896199404,51.448425603275,164.9109187174988,0.008333483764025202,51.4519004217,164.9327103640747,0.007371877939434175
22,49.718545078125,164.91003409523012,0.008042740962201813,49.718960093724995,164.91061231300355,0.008344689568793936,49.72253473124999,164.93243433784485,0.0073680905956200245
23,48.03100147215,164.90974865577698,0.008061032632003707,48.031423112199995,164.91032167648316,0.008347615347625978,48.035089755075,164.93216919410705,0.007370531776342029
24,46.38477144709999,164.90948256935118,0.008093557160573096,46.3851990862,164.91005010765076,0.008357573310207892,46.388950088449995,164.9319231599426,0.0073736889327075585
25,44.779242325225,164.90923477729797,0.008136015501056843,44.779675319525005,164.9097999330902,0.008387943872843555,44.783503279550004,164.9317014125061,0.007386829355512648
26,43.213804515575006,164.90900176750182,0.008178093766329447,43.21424231895,164.9095639956665,0.008439754378582852,43.218139988050005,164.93148832633972,0.007404789271633502
27,41.687851451774996,164.90877958625794,0.008226699007549389,41.688293587925,164.90934753517152,0.008506689368600528,41.6922538222,164.9312796811676,0.007418272508641148
28,40.200779614425,164.90856894058228,0.008285508176516194,40.201225590037495,164.9091458439636,0.008593817208296587,40.2052413676,164.93108551185608,0.007432503224186783
29,38.7519886813875,164.90836739959718,0.008355599846046512,38.752437949925,164.90895263252258,0.008682981080274611,38.7565026034875,164.9309038093567,0.007461543810241439
30,37.340881346749995,164.9081795201874,0.008443393005551424,37.34133343655,164.90876583168028,0.008775212153689167,37.345440300675,164.93072330589294,0.00751133103041372
31,35.9668633526125,164.90800314849852,0.008541160314628428,35.9673177030625,164.9085885533905,0.008871743117951764,35.9714604904125,164.93054463928223,0.007594591364453165
32,34.6293437971375,164.90783842895507,0.008651556302950681,34.62979980985,164.90841411491394,0.008961604088595428,34.6339722800875,164.93037295043945,0.0077082012577964175
33,33.327734661025,164.907677144928,0.008776331757894435,33.328191869337495,164.90824585723877,0.00904812642226235,33.332388063525,164.9302075934601,0.007819477839072728
34,32.061451303925004,164.90751444503783,0.008917966579627151,32.0619091948125,164.9080892388153,0.009147654006205728,32.066123278237505,164.9300481272888,0.007929128269580093
35,30.8299122105875,164.90736002838133,0.009075626508744524,30.83037030565,164.90793588493347,0.009265350280762072,30.8345965994,164.92989441078186,0.008058921038776838
36,29.6325390444875,164.90721225189208,0.009239776647924499,29.632996927100002,164.9077865699768,0.009408347473839505,29.6372299934125,164.9297447468567,0.008198315250640395
37,28.4687568378625,164.90706477989195,0.00941943993607407,28.469214093937502,164.9076436027527,0.009585002637822944,28.4734484773125,164.92960012756348,0.008333207855411896
38,27.3379937690625,164.9069228567505,0.00963304503473977,27.3384499089,164.90750869346618,0.009780867709768588,27.342680566949998,164.92946278266908,0.008470789804318368
39,26.239681340512497,164.90678814605712,0.009866562354683292,26.240135974225,164.90737963943482,0.010002738988978003,26.2443578939125,164.92933171913148,0.00862517772808734
40,25.173254375637498,164.90666108901976,0.010121649596569287,25.173707028775002,164.9072602509308,0.010253150223631885,25.177915483074997,164.92919888816834,0.008813547977433283
41,24.138150958637503,164.9065401348114,0.010400103021966055,24.1386011825375,164.90714930671692,0.010499742978627918,24.1427915392125,164.92906494651794,0.00903566503278802
42,23.133812513375,164.90642730117798,0.010697347695366916,23.1342599319375,164.9070448736572,0.010772876041781922,23.138427771125,164.92893620185853,0.00930173100958795
43,22.15968382125,164.90632027290343,0.0110143147850372,22.16012806705,164.90694965057372,0.01107144770320491,22.1642690463125,164.928810809021,0.009616833323680938
44,21.21521310345,164.90621711990357,0.011353619394045441,21.215653728225,164.90686432136536,0.01141651327999031,21.219763827050002,164.9286841822052,0.009964553068145325
45,20.29985180775,164.906109813385,0.01172489862775834,20.300288481468748,164.90678221260072,0.011795390164864937,20.3043638329375,164.92856220474243,0.010343376951638441
46,19.4130549291125,164.90600532020568,0.012155052934827371,19.413487278525,164.90670717803954,0.012198354673948985,19.41752422496875,164.9284512561798,0.01076772540939091
47,18.55428088000625,164.90590893806458,0.012643113498561117,18.5547085990375,164.9066375828552,0.012636252524698197,18.5587036442375,164.92835502197266,0.011231001094276688
