pressure_bar,temperature_K,H2O_D1mm_timescale_s,H2O_D2mm_timescale_s,H2O_D5mm_timescale_s,H2O_D10mm_timescale_s,NH3_D1mm_timescale_s,NH3_D2mm_timescale_s,NH3_D5mm_timescale_s,NH3_D10mm_timescale_s
1.00000000e-01,8.47592252e+01,2.21420499e+24,8.85681996e+24,5.53551247e+25,2.21420499e+26,2.94891568e+12,1.17956627e+13,7.37228920e+13,2.94891568e+14
1.01787806e-01,8.51894402e+01,1.53507896e+24,6.14031584e+24,3.83769740e+25,1.53507896e+26,2.34771865e+12,9.39087458e+12,5.86929661e+13,2.34771865e+14
1.03607574e-01,8.56218389e+01,1.06626192e+24,4.26504766e+24,2.66565479e+25,1.06626192e+26,1.87135753e+12,7.48543011e+12,4.67839382e+13,1.87135753e+14
1.05459876e-01,8.60564323e+01,7.42015909e+23,2.96806363e+24,1.85503977e+25,7.42015909e+25,1.49345400e+12,5.97381602e+12,3.73363501e+13,1.49345400e+14
1.07345294e-01,8.64932316e+01,5.17338209e+23,2.06935284e+24,1.29334552e+25,5.17338209e+25,1.19329728e+12,4.77318911e+12,2.98324319e+13,1.19329728e+14
1.09264419e-01,8.69322479e+01,3.61363108e+23,1.44545243e+24,9.03407770e+24,3.61363108e+25,9.54606811e+11,3.81842725e+12,2.38651703e+13,9.54606811e+13
1.11217855e-01,8.73734926e+01,2.52881413e+23,1.01152565e+24,6.32203532e+24,2.52881413e+25,7.64569320e+11,3.05827728e+12,1.91142330e+13,7.64569320e+13
1.13206214e-01,8.78169770e+01,1.77292263e+23,7.09169054e+23,4.43230659e+24,1.77292263e+25,6.13088340e+11,2.45235336e+12,1.53272085e+13,6.13088340e+13
1.15230122e-01,8.82627123e+01,1.24525531e+23,4.98102122e+23,3.11313826e+24,1.24525531e+25,4.92198745e+11,1.96879498e+12,1.23049686e+13,4.92198745e+13
1.17290212e-01,8.87107101e+01,8.76231251e+22,3.50492500e+23,2.19057813e+24,8.76231251e+24,3.95609417e+11,1.58243767e+12,9.89023543e+12,3.95609417e+13
1.19387134e-01,8.91609818e+01,6.17684636e+22,2.47073855e+23,1.54421159e+24,6.17684636e+24,3.18345596e+11,1.27338238e+12,7.95863990e+12,3.18345596e+13
1.21521544e-01,8.96135390e+01,4.36213002e+22,1.74485201e+23,1.09053250e+24,4.36213002e+24,2.56468848e+11,1.02587539e+12,6.41172119e+12,2.56468848e+13
1.23694113e-01,9.00683932e+01,3.08610146e+22,1.23444058e+23,7.71525364e+23,3.08610146e+24,2.06857562e+11,8.27430247e+11,5.17143904e+12,2.06857562e+13
1.25905523e-01,9.05255561e+01,2.18724606e+22,8.74898424e+22,5.46811515e+23,2.18724606e+24,1.67034683e+11,6.68138734e+11,4.17586708e+12,1.67034683e+13
1.28156470e-01,9.09850395e+01,1.55294837e+22,6.21179348e+22,3.88237093e+23,1.55294837e+24,1.35032365e+11,5.40129460e+11,3.37580913e+12,1.35032365e+13
1.30447658e-01,9.14468551e+01,1.10454757e+22,4.41819028e+22,2.76136893e+23,1.10454757e+24,1.09285500e+11,4.37142001e+11,2.73213751e+12,1.09285500e+13
1.32779809e-01,9.19110147e+01,7.87002273e+21,3.14800909e+22,1.96750568e+23,7.87002273e+23,8.85478820e+10,3.54191528e+11,2.21369705e+12,8.85478820e+12
1.35153654e-01,9.23775303e+01,5.61730291e+21,2.24692116e+22,1.40432573e+23,5.61730291e+23,7.18261012e+10,2.87304405e+11,1.79565253e+12,7.18261012e+12
